"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CHEMICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Energy & Environmental Science,"81,176",33.250,0.160140,7.518
2,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"11,322",26.467,0.008380,6.414
3,APPLIED CATALYSIS B-ENVIRONMENTAL,"74,797",14.229,0.092290,1.918
4,Annual Review of Chemical and Biomolecular Engineering,"1,641",9.569,0.003340,2.415
5,APPLIED ENERGY,"81,221",8.426,0.128490,1.445
6,CHEMICAL ENGINEERING JOURNAL,"95,055",8.355,0.121860,1.213
7,JOURNAL OF CATALYSIS,"47,618",7.723,0.033180,1.561
8,JOURNAL OF MEMBRANE SCIENCE,"68,302",7.015,0.061340,1.175
9,ACS Sustainable Chemistry & Engineering,"24,768",6.970,0.048770,1.209
10,DESALINATION,"40,252",6.035,0.027810,1.066
11,Journal of CO2 Utilization,"3,075",5.189,0.005900,0.928
12,Journal of Energy Chemistry,"3,037",5.162,0.005660,0.674
13,FUEL,"61,516",5.128,0.076760,0.953
14,SEPARATION AND PURIFICATION TECHNOLOGY,"28,152",5.107,0.030930,0.768
15,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,"15,509",4.978,0.024440,0.727
16,CHINESE JOURNAL OF CATALYSIS,"5,873",4.914,0.008870,0.556
17,CATALYSIS TODAY,"35,515",4.888,0.028670,0.852
18,SEPARATION AND PURIFICATION REVIEWS,809,4.714,0.000990,1.113
19,FUEL PROCESSING TECHNOLOGY,"19,417",4.507,0.022880,0.843
20,Current Opinion in Chemical Engineering,"1,656",4.463,0.004210,1.061
21,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,"5,890",4.384,0.007940,0.687
22,REVIEWS IN CHEMICAL ENGINEERING,834,4.200,0.001210,0.817
23,COMBUSTION AND FLAME,"23,281",4.120,0.019850,0.922
24,DYES AND PIGMENTS,"16,510",4.018,0.017830,0.535
25,Reaction Chemistry & Engineering,664,3.935,0.002050,1.004
