"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, ANALYTICAL','CHEMISTRY, APPLIED','CHEMISTRY, INORGANIC & NUCLEAR','CHEMISTRY, MULTIDISCIPLINARY','CHEMISTRY, ORGANIC','CHEMISTRY, PHYSICAL','CRYSTALLOGRAPHY','ELECTROCHEMISTRY','POLYMER SCIENCE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,CHEMICAL REVIEWS,"188,635",54.301,0.267140,15.695
2,CHEMICAL SOCIETY REVIEWS,"139,751",40.443,0.247070,10.815
3,NATURE MATERIALS,"97,792",38.887,0.177350,16.602
4,Energy & Environmental Science,"81,176",33.250,0.160140,7.518
5,Nature Reviews Chemistry,"1,531",30.628,0.006720,11.835
6,ADVANCED MATERIALS,"229,186",25.809,0.409360,5.816
7,Advanced Energy Materials,"50,724",24.884,0.120600,4.916
8,PROGRESS IN POLYMER SCIENCE,"26,152",24.505,0.022440,6.341
9,Nature Chemistry,"32,858",23.193,0.091910,10.117
10,ACCOUNTS OF CHEMICAL RESEARCH,"69,687",21.661,0.131770,6.609
11,Chem,"3,493",18.205,0.011310,5.676
12,Nano Today,"7,980",16.582,0.012950,4.584
13,ACS Energy Letters,"10,134",16.331,0.031350,4.472
14,Advanced Science,"8,129",15.804,0.021030,3.456
15,ADVANCED FUNCTIONAL MATERIALS,"95,431",15.621,0.175960,3.398
16,Nano Energy,"37,106",15.548,0.087250,3.046
17,SURFACE SCIENCE REPORTS,"4,655",14.824,0.002470,3.986
18,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"550,343",14.695,0.674630,3.962
19,Materials Horizons,"4,587",14.356,0.013710,3.350
20,APPLIED CATALYSIS B-ENVIRONMENTAL,"74,797",14.229,0.092290,1.918
21,ACS Nano,"152,659",13.903,0.325680,3.885
22,COORDINATION CHEMISTRY REVIEWS,"32,760",13.476,0.034900,2.892
