"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'CONSTRUCTION & BUILDING TECHNOLOGY','ENGINEERING, CIVIL','TRANSPORTATION SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,090",6.208,0.004120,1.092
2,IEEE Vehicular Technology Magazine,"1,331",6.145,0.003360,1.796
3,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,"10,655",5.775,0.017030,1.130
4,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"13,098",5.744,0.021080,1.222
5,CEMENT AND CONCRETE RESEARCH,"34,278",5.618,0.016240,1.380
6,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"26,445",5.339,0.046590,1.095
7,IEEE Transactions on Transportation Electrification,"1,127",5.270,0.002510,1.177
8,CEMENT & CONCRETE COMPOSITES,"14,951",5.172,0.014350,1.334
9,BUILDING AND ENVIRONMENT,"24,741",4.820,0.021740,0.861
10,INDOOR AIR,"4,851",4.710,0.005620,1.231
11,Sustainable Cities and Society,"3,924",4.624,0.005350,0.580
12,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,"11,541",4.574,0.013340,1.221
13,ENERGY AND BUILDINGS,"36,886",4.495,0.039070,0.733
14,JOURNAL OF HYDROLOGY,"54,625",4.405,0.053680,1.097
15,AUTOMATION IN CONSTRUCTION,"8,869",4.313,0.008700,0.743
16,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,"6,485",4.253,0.008460,0.980
17,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,"6,815",4.051,0.008650,0.815
18,CONSTRUCTION AND BUILDING MATERIALS,"56,987",4.046,0.063700,0.630
19,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,"8,362",3.942,0.009160,0.784
20,STEEL AND COMPOSITE STRUCTURES,"3,566",3.899,0.004620,0.482
21,COASTAL ENGINEERING,"7,701",3.850,0.007460,0.952
22,BUILDING RESEARCH AND INFORMATION,"3,256",3.744,0.002630,0.744
23,Structural Control & Health Monitoring,"3,353",3.740,0.005220,0.782
24,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"9,871",3.693,0.012230,0.957
25,Smart Structures and Systems,"2,156",3.622,0.003300,0.432
26,Vehicular Communications,554,3.530,0.000990,0.734
27,STRUCTURAL SAFETY,"3,717",3.517,0.004340,1.211
28,THIN-WALLED STRUCTURES,"9,414",3.488,0.013970,0.737
29,TRANSPORTATION,"3,698",3.457,0.003990,0.998
30,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,"11,055",3.419,0.010720,1.219
31,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,"5,638",3.404,0.004980,0.663
32,COMPUTERS & STRUCTURES,"14,302",3.354,0.011790,0.979
33,TRANSPORTATION SCIENCE,"5,487",3.310,0.005440,1.388
34,IEEE Intelligent Transportation Systems Magazine,839,3.294,0.001660,0.860
35,JOURNAL OF MANAGEMENT IN ENGINEERING,"2,745",3.269,0.002480,0.452
36,Journal of Building Performance Simulation,978,3.110,0.001550,0.694
37,ENGINEERING STRUCTURES,"24,459",3.084,0.034870,0.789
38,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,"10,915",3.010,0.007320,0.695
39,WATER RESOURCES MANAGEMENT,"10,455",2.987,0.012960,0.613
40,JOURNAL OF HYDRAULIC RESEARCH,"4,452",2.974,0.003380,0.803
41,MARINE STRUCTURES,"2,283",2.865,0.002190,0.620
42,Archives of Civil and Mechanical Engineering,"1,854",2.846,0.002680,0.466
43,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,019",2.807,0.006860,0.655
44,STRUCTURAL ENGINEERING AND MECHANICS,"4,236",2.804,0.004670,0.289
45,COLD REGIONS SCIENCE AND TECHNOLOGY,"5,044",2.767,0.005120,0.610
46,JOURNAL OF EARTHQUAKE ENGINEERING,"2,571",2.754,0.002630,0.693
47,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,"8,249",2.734,0.004630,0.446
48,OCEAN ENGINEERING,"13,034",2.730,0.017480,0.568
49,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,"10,070",2.650,0.011690,0.642
50,Leukos,376,2.647,0.000530,0.550
51,Advances in Concrete Construction,178,2.618,0.000260,Not Available
52,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"4,974",2.606,0.005440,0.844
53,Geomechanics and Engineering,"1,196",2.594,0.001370,0.249
54,Journal of Intelligent Transportation Systems,825,2.568,0.001090,0.478
55,IEEE JOURNAL OF OCEANIC ENGINEERING,"4,355",2.567,0.003390,0.661
56,Ingegneria Sismica,206,2.561,0.000210,0.214
57,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"2,900",2.554,0.003710,0.565
58,Journal of Hydro-environment Research,892,2.548,0.001510,0.598
58,MATERIALS AND STRUCTURES,"10,201",2.548,0.011230,0.705
60,JOURNAL OF STRUCTURAL ENGINEERING,"17,390",2.528,0.013660,0.827
61,Structure and Infrastructure Engineering,"1,994",2.430,0.003940,0.552
62,Transportation Geotechnics,377,2.385,0.000700,Not Available
63,Journal of Building Engineering,"1,025",2.378,0.001910,Not Available
64,Lighting Research & Technology,"1,954",2.311,0.001670,0.415
65,International Journal of Pavement Engineering,"1,712",2.298,0.002370,0.454
66,International Journal of Engine Research,"1,523",2.272,0.002130,0.484
67,Building Simulation,886,2.238,0.001580,0.436
68,Transportmetrica B-Transport Dynamics,220,2.229,0.000650,0.690
69,JOURNAL OF HYDRAULIC ENGINEERING,"11,161",2.206,0.005060,0.604
70,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,"1,372",2.204,0.002070,0.432
71,International Journal of Structural Stability and Dynamics,"1,744",2.156,0.002310,0.318
72,International Journal of Concrete Structures and Materials,695,2.111,0.001240,0.493
73,NETWORKS & SPATIAL ECONOMICS,"1,167",2.084,0.001890,0.761
74,IET Intelligent Transport Systems,"1,120",2.050,0.001710,0.332
75,Journal of Civil Engineering and Management,"1,443",2.029,0.001770,0.278
76,MAGAZINE OF CONCRETE RESEARCH,"3,242",2.026,0.002610,0.364
77,COASTAL ENGINEERING JOURNAL,597,2.016,0.000720,0.412
