"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ALLERGY','ANDROLOGY','ANESTHESIOLOGY','CARDIAC & CARDIOVASCULAR SYSTEMS','CLINICAL NEUROLOGY','CRITICAL CARE MEDICINE','DENTISTRY, ORAL SURGERY & MEDICINE','DERMATOLOGY','EMERGENCY MEDICINE','ENDOCRINOLOGY & METABOLISM','GASTROENTEROLOGY & HEPATOLOGY','GERIATRICS & GERONTOLOGY','GERONTOLOGY','HEMATOLOGY','INTEGRATIVE & COMPLEMENTARY MEDICINE','MEDICINE, GENERAL & INTERNAL','NEUROIMAGING','OBSTETRICS & GYNECOLOGY','ONCOLOGY','OPHTHALMOLOGY','ORTHOPEDICS','OTORHINOLARYNGOLOGY','PEDIATRICS','PERIPHERAL VASCULAR DISEASE','PSYCHIATRY','RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING','RESPIRATORY SYSTEM','RHEUMATOLOGY','SURGERY','TRANSPLANTATION','UROLOGY & NEPHROLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"32,410",223.679,0.077430,46.173
2,NEW ENGLAND JOURNAL OF MEDICINE,"344,581",70.670,0.687120,30.627
3,LANCET,"247,292",59.102,0.428000,21.680
4,NATURE REVIEWS CANCER,"50,529",51.848,0.074060,19.543
5,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"156,350",51.273,0.300870,21.354
6,LANCET ONCOLOGY,"48,822",35.386,0.147020,13.254
7,Nature Reviews Clinical Oncology,"9,626",34.106,0.031910,9.786
8,World Psychiatry,"5,426",34.024,0.014090,10.466
8,World Psychiatry,"5,426",34.024,0.014090,10.466
10,Nature Reviews Disease Primers,"4,339",32.274,0.019730,11.410
11,LANCET NEUROLOGY,"30,748",28.755,0.069420,11.977
12,JOURNAL OF CLINICAL ONCOLOGY,"154,462",28.349,0.284300,8.702
13,BMJ-British Medical Journal,"112,901",27.604,0.152730,10.227
14,Cancer Discovery,"13,715",26.370,0.064800,11.440
15,EUROPEAN HEART JOURNAL,"58,233",24.889,0.129390,6.871
16,Nature Reviews Endocrinology,"8,908",24.646,0.026300,7.603
17,Lancet Diabetes & Endocrinology,"7,961",24.540,0.038670,9.299
18,CANCER CELL,"36,056",23.916,0.091030,12.289
19,Nature Reviews Gastroenterology & Hepatology,"8,506",23.570,0.025380,6.941
20,CIRCULATION,"166,484",23.054,0.211150,8.023
21,Lancet Respiratory Medicine,"7,600",22.992,0.038840,9.022
22,JAMA Oncology,"9,488",22.416,0.048600,9.790
23,Cell Metabolism,"34,829",22.415,0.099550,9.436
24,Nature Reviews Neurology,"9,548",21.155,0.031050,8.875
25,JAMA Internal Medicine,"15,215",20.768,0.095550,9.687
26,GASTROENTEROLOGY,"74,469",19.809,0.104850,6.673
27,Nature Reviews Nephrology,"5,767",19.684,0.017070,5.110
28,ANNALS OF INTERNAL MEDICINE,"57,057",19.315,0.095990,9.540
29,INTENSIVE CARE MEDICINE,"22,631",18.967,0.040100,4.519
30,JOURNAL OF HEPATOLOGY,"40,643",18.946,0.084360,4.505
31,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"100,986",18.639,0.193110,7.211
32,Nature Reviews Rheumatology,"7,761",18.545,0.021640,5.392
33,Lancet Psychiatry,"4,887",18.329,0.022090,6.510
33,Lancet Psychiatry,"4,887",18.329,0.022090,6.510
35,ACTA NEUROPATHOLOGICA,"20,206",18.174,0.041640,5.592
36,GUT,"43,400",17.943,0.068110,5.499
37,Nature Reviews Cardiology,"6,301",17.420,0.018800,5.477
38,EUROPEAN UROLOGY,"30,782",17.298,0.070900,5.094
39,BLOOD,"161,908",16.601,0.241110,4.814
40,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"63,074",16.494,0.091110,5.546
41,JAMA Psychiatry,"10,894",15.916,0.055520,7.127
41,JAMA Psychiatry,"10,894",15.916,0.055520,7.127
43,CIRCULATION RESEARCH,"52,988",15.862,0.072270,4.631
44,DIABETES CARE,"71,305",15.270,0.096200,3.851
45,JOURNAL OF PINEAL RESEARCH,"10,695",15.221,0.010560,1.966
46,ENDOCRINE REVIEWS,"13,381",15.167,0.008900,5.914
47,HEPATOLOGY,"65,892",14.971,0.095200,4.148
48,Alzheimers & Dementia,"13,341",14.423,0.036320,4.473
49,ANNALS OF THE RHEUMATIC DISEASES,"44,754",14.299,0.082790,4.205
50,ANNALS OF ONCOLOGY,"40,751",14.196,0.103780,4.207
51,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"51,978",14.110,0.076210,3.750
52,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,892",13.744,0.005790,3.404
