"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE','COMPUTER SCIENCE, CYBERNETICS','COMPUTER SCIENCE, INFORMATION SYSTEMS','COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS','COMPUTER SCIENCE, SOFTWARE ENGINEERING','COMPUTER SCIENCE, THEORY & METHODS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,IEEE Communications Surveys and Tutorials,"16,408",22.973,0.039660,5.788
2,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"55,828",17.730,0.068830,5.319
3,IEEE Transactions on Neural Networks and Learning Systems,"27,444",11.683,0.040210,2.710
4,Journal of Statistical Software,"20,164",11.655,0.049130,9.120
5,IEEE WIRELESS COMMUNICATIONS,"7,804",11.000,0.017870,2.849
6,Information Fusion,"4,746",10.716,0.008360,1.847
7,IEEE Transactions on Cybernetics,"13,561",10.387,0.046070,2.692
8,IEEE Internet of Things Journal,"6,119",9.515,0.010690,1.845
9,MEDICAL IMAGE ANALYSIS,"7,694",8.880,0.013360,1.910
10,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"15,574",8.759,0.018430,2.050
11,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"12,841",8.508,0.008690,2.263
12,IEEE TRANSACTIONS ON MEDICAL IMAGING,"19,545",7.816,0.024980,1.809
13,IEEE NETWORK,"4,228",7.503,0.008700,1.872
14,IEEE Transactions on Industrial Informatics,"13,187",7.377,0.028790,1.886
15,IEEE Transactions on Systems Man Cybernetics-Systems,"9,525",7.351,0.015440,1.460
16,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"1,830",7.242,0.003170,2.207
17,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"4,310",7.229,0.003200,0.827
18,IEEE TRANSACTIONS ON IMAGE PROCESSING,"40,201",6.790,0.061450,2.115
19,ACM TRANSACTIONS ON GRAPHICS,"21,302",6.495,0.032160,2.031
20,IEEE Transactions on Dependable and Secure Computing,"2,439",6.404,0.003440,1.150
21,International Journal of Neural Systems,"2,035",6.400,0.003050,1.072
22,Swarm and Evolutionary Computation,"2,429",6.330,0.003250,1.085
23,IEEE Transactions on Affective Computing,"1,943",6.288,0.002970,1.272
24,IEEE Transactions on Information Forensics and Security,"9,811",6.211,0.019530,1.496
25,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,090",6.208,0.004120,1.092
26,ACM COMPUTING SURVEYS,"8,120",6.131,0.012750,2.522
27,INTERNATIONAL JOURNAL OF COMPUTER VISION,"17,707",6.071,0.027970,4.793
28,IEEE Transactions on Cloud Computing,"1,686",5.967,0.003820,Not Available
29,PATTERN RECOGNITION,"27,711",5.898,0.030330,1.402
30,Foundations and Trends in Information Retrieval,366,5.857,0.000290,1.058
30,IEEE Computational Intelligence Magazine,"1,333",5.857,0.001850,1.615
32,NEURAL NETWORKS,"13,063",5.785,0.016050,1.665
33,Future Generation Computer Systems-The International Journal of eScience,"10,230",5.768,0.013240,0.943
34,IEEE Transactions on Services Computing,"2,379",5.707,0.004390,1.059
35,COMPUTERS & EDUCATION,"14,601",5.627,0.013400,0.967
36,INFORMATION SCIENCES,"31,734",5.524,0.050800,1.111
37,IEEE TRANSACTIONS ON MULTIMEDIA,"8,222",5.452,0.019840,1.554
38,COMMUNICATIONS OF THE ACM,"18,700",5.410,0.011710,1.912
39,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"6,959",5.273,0.011510,0.799
40,NEUROINFORMATICS,"1,277",5.127,0.002920,1.456
41,KNOWLEDGE-BASED SYSTEMS,"12,347",5.101,0.022250,0.994
42,ARTIFICIAL INTELLIGENCE REVIEW,"2,627",5.095,0.003290,1.036
43,IEEE Transactions on Emerging Topics in Computing,"1,288",4.989,0.003270,1.191
44,INTEGRATED COMPUTER-AIDED ENGINEERING,691,4.904,0.001080,0.622
45,APPLIED SOFT COMPUTING,"19,765",4.873,0.029410,0.814
46,IEEE Transactions on Control of Network Systems,"1,347",4.802,0.006500,Not Available
47,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"7,085",4.778,0.006190,1.397
48,COMPUTERS IN INDUSTRY,"3,691",4.769,0.002700,0.438
49,IEEE Transactions on Network and Service Management,"1,449",4.682,0.002910,0.832
