"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENVIRONMENTAL SCIENCES','GEOGRAPHY, PHYSICAL','GEOLOGY','GEOSCIENCES, MULTIDISCIPLINARY','METEOROLOGY & ATMOSPHERIC SCIENCES','MINERALOGY','OCEANOGRAPHY','PALEONTOLOGY','WATER RESOURCES' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Energy & Environmental Science,"81,176",33.250,0.160140,7.518
2,Nature Climate Change,"23,544",21.722,0.098100,9.945
3,Annual Review of Marine Science,"3,870",15.225,0.008360,5.979
4,Nature Geoscience,"24,174",14.480,0.074160,7.285
5,Earth System Science Data,"2,351",10.951,0.010800,4.330
6,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"10,483",10.935,0.015290,3.836
7,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"17,370",10.427,0.030250,3.311
8,EARTH-SCIENCE REVIEWS,"17,382",9.530,0.030090,3.612
9,Annual Review of Earth and Planetary Sciences,"8,108",9.235,0.009380,5.509
10,GLOBAL CHANGE BIOLOGY,"42,119",8.880,0.075640,3.340
11,Reviews in Mineralogy & Geochemistry,"5,825",8.745,0.006090,3.392
12,Annual Review of Environment and Resources,"4,214",8.617,0.004780,3.383
13,REMOTE SENSING OF ENVIRONMENT,"54,482",8.218,0.048610,1.903
14,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"22,959",8.166,0.035340,4.007
15,ENVIRONMENT INTERNATIONAL,"23,409",7.943,0.031440,1.887
16,WATER RESEARCH,"87,258",7.913,0.075510,1.549
17,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,166",7.736,0.039540,2.755
18,Environmental Science-Nano,"3,769",7.704,0.008570,1.521
19,JOURNAL OF HAZARDOUS MATERIALS,"96,476",7.650,0.066050,1.242
20,Environmental Innovation and Societal Transitions,"1,884",7.514,0.003280,Not Available
21,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"173,191",7.149,0.177660,1.678
22,Wiley Interdisciplinary Reviews-Climate Change,"3,352",7.057,0.008650,2.654
23,RESOURCES CONSERVATION AND RECYCLING,"13,476",7.044,0.010320,0.877
24,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"11,576",6.942,0.018240,1.606
25,Environmental Science & Technology Letters,"2,531",6.934,0.008430,1.977
26,GONDWANA RESEARCH,"13,210",6.478,0.029220,2.249
27,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"1,753",6.436,0.001470,1.397
28,JOURNAL OF CLEANER PRODUCTION,"71,233",6.395,0.083700,0.864
29,Oceanography and Marine Biology,"2,485",6.286,0.001030,2.530
30,CONSERVATION BIOLOGY,"21,980",6.194,0.019450,1.991
31,Environmental Research Letters,"16,889",6.192,0.053450,2.232
32,DESALINATION,"40,252",6.035,0.027810,1.066
33,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"5,434",5.980,0.005330,1.487
34,Environmental Sciences Europe,824,5.878,0.001780,Not Available
35,Earths Future,"1,573",5.781,0.007020,2.557
36,GLOBAL BIOGEOCHEMICAL CYCLES,"15,026",5.733,0.018100,2.572
37,ENVIRONMENTAL POLLUTION,"48,578",5.714,0.052520,1.164
38,ATMOSPHERIC CHEMISTRY AND PHYSICS,"51,162",5.668,0.083700,1.596
39,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"11,864",5.667,0.021920,2.606
40,SCIENCE OF THE TOTAL ENVIRONMENT,"97,467",5.589,0.131290,1.062
41,Ecosystem Services,"4,552",5.572,0.008310,1.118
42,Trends in Environmental Analytical Chemistry,268,5.500,0.000680,0.978
43,Reviews of Environmental Contamination and Toxicology,"2,185",5.462,0.001550,1.123
44,WASTE MANAGEMENT,"26,116",5.431,0.023410,0.858
45,INTERNATIONAL JOURNAL OF COAL GEOLOGY,"12,968",5.330,0.013120,1.203
46,Geoscientific Model Development,"7,707",5.154,0.028060,2.216
47,LANDSCAPE AND URBAN PLANNING,"16,054",5.144,0.014880,1.282
48,CHEMOSPHERE,"79,440",5.108,0.078890,0.870
49,ENVIRONMENTAL RESEARCH,"16,339",5.026,0.025550,1.137
50,GEOLOGY,"37,975",5.006,0.040750,2.253
51,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,"2,582",4.938,0.003010,1.472
52,HYDROLOGY AND EARTH SYSTEM SCIENCES,"18,405",4.936,0.032190,1.509
53,ENERGY POLICY,"47,238",4.880,0.043920,1.014
54,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,"8,608",4.868,0.007990,0.852
55,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"35,149",4.865,0.038380,0.869
56,JOURNAL OF INDUSTRIAL ECOLOGY,"5,540",4.826,0.005560,0.932
57,ENVIRONMENTAL SCIENCE & POLICY,"8,668",4.816,0.014790,1.174
58,JOURNAL OF CLIMATE,"52,398",4.805,0.089030,2.417
59,Cryosphere,"6,816",4.790,0.024050,2.200
60,Sustainability Science,"2,522",4.669,0.003280,1.000
61,QUATERNARY SCIENCE REVIEWS,"24,028",4.641,0.040200,1.881
62,APPLIED CATALYSIS A-GENERAL,"38,515",4.630,0.025170,0.770
63,Environmental Chemistry Letters,"2,799",4.617,0.002540,0.694
64,GEOPHYSICAL RESEARCH LETTERS,"102,052",4.578,0.185350,2.146
