"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION & EDUCATIONAL RESEARCH','EDUCATION, SCIENTIFIC DISCIPLINES','EDUCATION, SPECIAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,REVIEW OF EDUCATIONAL RESEARCH,"9,451",8.985,0.005970,3.770
2,EDUCATIONAL PSYCHOLOGIST,"5,468",5.956,0.003880,3.033
3,COMPUTERS & EDUCATION,"14,601",5.627,0.013400,0.967
4,Internet and Higher Education,"2,738",5.284,0.002680,1.232
5,Educational Research Review,"1,677",5.204,0.003290,2.314
6,ACADEMIC MEDICINE,"15,669",4.937,0.027260,2.081
7,MEDICAL EDUCATION,"10,341",4.619,0.011760,1.790
8,Anatomical Sciences Education,"1,873",4.027,0.002070,0.550
9,LEARNING AND INSTRUCTION,"5,202",3.917,0.007320,1.844
10,MODERN LANGUAGE JOURNAL,"4,142",3.762,0.003310,1.027
11,JOURNAL OF THE LEARNING SCIENCES,"2,376",3.545,0.001610,1.408
12,Educational Researcher,"7,010",3.386,0.006330,2.274
13,Comunicar,"1,367",3.338,0.000760,0.288
14,Academy of Management Learning & Education,"2,868",3.274,0.001970,0.979
15,JOURNAL OF TEACHER EDUCATION,"3,348",3.263,0.002050,1.059
16,Studies in Science Education,637,3.250,0.000610,1.552
16,Studies in Science Education,637,3.250,0.000610,1.552
18,JOURNAL OF ENGINEERING EDUCATION,"2,794",3.244,0.001290,0.890
18,JOURNAL OF ENGINEERING EDUCATION,"2,794",3.244,0.001290,0.890
20,AMERICAN EDUCATIONAL RESEARCH JOURNAL,"5,966",3.170,0.006000,2.177
21,SOCIOLOGY OF EDUCATION,"2,885",3.146,0.003110,2.381
22,JOURNAL OF RESEARCH IN SCIENCE TEACHING,"6,499",3.135,0.004420,1.254
23,EDUCATIONAL EVALUATION AND POLICY ANALYSIS,"2,167",3.127,0.004720,2.384
24,JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,"2,484",3.063,0.000960,0.817
25,HIGHER EDUCATION,"6,182",3.005,0.005130,0.751
26,JOURNAL OF EXPERIMENTAL EDUCATION,"2,004",2.919,0.002210,1.156
27,SCIENCE EDUCATION,"4,911",2.897,0.003160,1.143
28,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,"3,912",2.869,0.005770,0.951
29,EXCEPTIONAL CHILDREN,"2,739",2.854,0.002580,1.527
29,STUDIES IN HIGHER EDUCATION,"5,281",2.854,0.005310,0.659
31,EARLY CHILDHOOD RESEARCH QUARTERLY,"4,266",2.835,0.005550,1.205
32,ADVANCES IN HEALTH SCIENCES EDUCATION,"2,697",2.761,0.005410,1.234
32,ADVANCES IN HEALTH SCIENCES EDUCATION,"2,697",2.761,0.005410,1.234
34,Metacognition and Learning,776,2.750,0.001200,1.229
35,TESOL QUARTERLY,"3,936",2.718,0.002650,0.994
36,MEDICAL TEACHER,"7,977",2.706,0.010520,0.930
37,READING RESEARCH QUARTERLY,"2,838",2.696,0.002030,1.340
38,JOURNAL OF EDUCATION POLICY,"2,425",2.684,0.002850,0.974
39,JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,"1,069",2.641,0.001200,0.886
40,International Journal of Bilingual Education and Bilingualism,"1,423",2.620,0.002220,0.784
41,REMEDIAL AND SPECIAL EDUCATION,"1,898",2.617,0.002900,1.356
42,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,"3,731",2.588,0.003290,0.492
43,JOURNAL OF LEARNING DISABILITIES,"3,462",2.578,0.003290,1.081
44,LANGUAGE LEARNING & TECHNOLOGY,"1,343",2.571,0.001480,0.771
45,Journal of Studies in International Education,"1,697",2.547,0.001160,0.633
46,JOURNAL OF HIGHER EDUCATION,"3,029",2.508,0.001850,0.911
47,Hematology-American Society of Hematology Education Program,"2,944",2.497,0.007260,1.159
48,Review of Research in Education,"1,301",2.488,0.001410,1.425
49,Journal of Research on Educational Effectiveness,638,2.485,0.002740,1.662
50,Assessment in Education-Principles Policy & Practice,"1,107",2.475,0.001020,Not Available
