"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'AUTOMATION & CONTROL SYSTEMS','COMMUNICATION','COMPUTER SCIENCE, HARDWARE & ARCHITECTURE','ENGINEERING, ELECTRICAL & ELECTRONIC','ROBOTICS','TELECOMMUNICATIONS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,IEEE Communications Surveys and Tutorials,"16,408",22.973,0.039660,5.788
2,Science Robotics,898,19.400,0.002430,5.272
3,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"55,828",17.730,0.068830,5.319
4,IEEE Industrial Electronics Magazine,"1,884",13.241,0.003880,3.870
5,IEEE Transactions on Neural Networks and Learning Systems,"27,444",11.683,0.040210,2.710
6,IEEE WIRELESS COMMUNICATIONS,"7,804",11.000,0.017870,2.849
7,PROCEEDINGS OF THE IEEE,"34,533",10.694,0.028250,3.434
8,IEEE Transactions on Smart Grid,"22,572",10.486,0.043980,2.319
9,IEEE Transactions on Cybernetics,"13,561",10.387,0.046070,2.692
10,IEEE COMMUNICATIONS MAGAZINE,"24,753",10.356,0.053750,3.072
11,IEEE Internet of Things Journal,"6,119",9.515,0.010690,1.845
12,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"20,299",9.302,0.046080,2.933
13,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"15,574",8.759,0.018430,2.050
14,IEEE TRANSACTIONS ON MEDICAL IMAGING,"19,545",7.816,0.024980,1.809
15,IEEE Transactions on Sustainable Energy,"8,780",7.650,0.022410,2.205
16,IEEE SIGNAL PROCESSING MAGAZINE,"12,072",7.602,0.016800,4.228
17,IEEE NETWORK,"4,228",7.503,0.008700,1.872
17,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"61,342",7.503,0.100630,2.036
19,IEEE Transactions on Industrial Informatics,"13,187",7.377,0.028790,1.886
20,IEEE Transactions on Systems Man Cybernetics-Systems,"9,525",7.351,0.015440,1.460
21,IEEE TRANSACTIONS ON POWER ELECTRONICS,"52,702",7.224,0.074480,1.691
22,IEEE TRANSACTIONS ON POWER SYSTEMS,"44,737",6.807,0.051280,1.747
23,IEEE TRANSACTIONS ON IMAGE PROCESSING,"40,201",6.790,0.061450,2.115
24,IEEE Journal of Selected Topics in Signal Processing,"6,560",6.688,0.017500,2.529
25,IEEE Transactions on Robotics,"15,859",6.483,0.012930,1.614
26,IEEE Transactions on Dependable and Secure Computing,"2,439",6.404,0.003440,1.150
27,Soft Robotics,"1,179",6.403,0.002830,2.067
28,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,"29,218",6.394,0.058390,1.539
29,AUTOMATICA,"40,135",6.355,0.067330,2.341
30,IEEE CONTROL SYSTEMS MAGAZINE,"4,282",6.228,0.003780,2.138
31,IEEE Transactions on Information Forensics and Security,"9,811",6.211,0.019530,1.496
32,IEEE Vehicular Technology Magazine,"1,331",6.145,0.003360,1.796
33,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,"10,619",6.134,0.011060,1.905
34,IEEE Journal of Emerging and Selected Topics in Power Electronics,"3,904",5.972,0.013390,1.906
35,PATTERN RECOGNITION,"27,711",5.898,0.030330,1.402
36,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"13,098",5.744,0.021080,1.222
37,IEEE TRANSACTIONS ON COMMUNICATIONS,"21,149",5.690,0.038710,1.461
38,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"43,741",5.630,0.046970,1.314
39,IEEE TRANSACTIONS ON MULTIMEDIA,"8,222",5.452,0.019840,1.554
40,COMMUNICATIONS OF THE ACM,"18,700",5.410,0.011710,1.912
41,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,"13,739",5.371,0.022280,1.538
42,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"26,445",5.339,0.046590,1.095
43,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"6,959",5.273,0.011510,0.799
44,IEEE Transactions on Transportation Electrification,"1,127",5.270,0.002510,1.177
45,Nonlinear Analysis-Hybrid Systems,"1,853",5.266,0.004310,1.339
46,IEEE TRANSACTIONS ON SIGNAL PROCESSING,"40,339",5.230,0.054720,1.689
47,IEEE Transactions on Automation Science and Engineering,"5,165",5.224,0.010400,1.227
48,IEEE JOURNAL OF SOLID-STATE CIRCUITS,"21,488",5.173,0.024200,1.421
49,PROGRESS IN QUANTUM ELECTRONICS,"1,211",5.105,0.001190,2.162
50,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,"47,987",5.093,0.061980,2.116
51,IEEE Transactions on Emerging Topics in Computing,"1,288",4.989,0.003270,1.191
52,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"10,578",4.943,0.018620,1.143
53,Journal of Computer-Mediated Communication,"4,671",4.896,0.005040,2.208
54,IEEE Transactions on Control of Network Systems,"1,347",4.802,0.006500,Not Available
55,IEEE Power & Energy Magazine,"2,292",4.800,0.003180,1.144
55,NEW MEDIA & SOCIETY,"5,972",4.800,0.009910,1.484
57,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"7,085",4.778,0.006190,1.397
58,ANNUAL REVIEWS IN CONTROL,"2,170",4.759,0.002350,1.129
59,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,"10,758",4.681,0.015790,1.078
60,IEEE TRANSACTIONS ON ENERGY CONVERSION,"12,255",4.614,0.012970,1.386
61,IEEE Transactions on Computational Imaging,692,4.546,0.003200,Not Available
62,IEEE Circuits and Systems Magazine,977,4.481,0.001310,1.421
63,IEEE TRANSACTIONS ON MOBILE COMPUTING,"8,469",4.474,0.014480,1.032
64,IEEE INTELLIGENT SYSTEMS,"3,053",4.464,0.003620,1.073
65,IEEE Systems Journal,"4,736",4.463,0.008680,0.879
66,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,"41,688",4.435,0.047980,0.956
