"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'BIOTECHNOLOGY & APPLIED MICROBIOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,NATURE REVIEWS DRUG DISCOVERY,"32,266",57.618,0.054880,20.886
2,NATURE BIOTECHNOLOGY,"60,971",31.864,0.158130,22.177
3,GENOME BIOLOGY,"38,920",14.028,0.133250,9.932
4,TRENDS IN BIOTECHNOLOGY,"15,857",13.747,0.019230,3.937
5,BIOTECHNOLOGY ADVANCES,"18,021",12.831,0.020270,2.859
6,GENOME RESEARCH,"39,240",9.944,0.079590,6.773
7,BIOSENSORS & BIOELECTRONICS,"57,168",9.518,0.077810,1.281
8,MOLECULAR THERAPY,"16,991",8.402,0.030050,2.334
9,CURRENT OPINION IN BIOTECHNOLOGY,"15,326",8.083,0.023020,2.331
10,METABOLIC ENGINEERING,"7,967",7.808,0.016110,2.145
11,CRITICAL REVIEWS IN BIOTECHNOLOGY,"3,785",7.054,0.005370,1.541
12,PLANT BIOTECHNOLOGY JOURNAL,"7,866",6.840,0.016170,1.834
13,BIORESOURCE TECHNOLOGY,"118,251",6.669,0.106420,0.983
14,Tissue Engineering Part B-Reviews,"3,550",6.512,0.004970,1.713
15,npj Biofilms and Microbiomes,475,6.333,0.001800,1.900
16,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"3,566",6.081,0.004090,1.833
17,STEM CELLS,"21,467",5.614,0.030290,1.780
18,Biotechnology for Biofuels,"9,655",5.452,0.021060,1.373
19,JOURNAL OF NANOBIOTECHNOLOGY,"3,534",5.345,0.005330,1.092
20,Annual Review of Animal Biosciences,709,5.200,0.003160,2.306
21,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,"2,582",4.938,0.003010,1.472
22,Microbial Biotechnology,"3,576",4.857,0.006780,1.142
23,Nanomedicine,"7,763",4.717,0.011840,1.039
24,CANCER GENE THERAPY,"2,842",4.681,0.003200,0.691
25,BIOINFORMATICS,"107,600",4.531,0.205300,4.168
26,Current Opinion in Chemical Engineering,"1,656",4.463,0.004210,1.061
27,Artificial Cells Nanomedicine and Biotechnology,"3,209",4.462,0.003030,0.360
28,Microbial Cell Factories,"7,567",4.402,0.013950,1.110
29,CYTOTHERAPY,"5,969",4.297,0.009690,1.008
30,BIOTECHNOLOGY AND BIOENGINEERING,"26,077",4.260,0.019030,1.045
31,Biofuels Bioproducts & Biorefining-Biofpr,"3,165",4.224,0.003440,0.929
32,FOOD MICROBIOLOGY,"10,786",4.089,0.012130,0.965
33,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,"105,845",4.077,0.064390,1.253
34,Stem Cell Research,"3,077",3.929,0.008420,1.259
35,HUMAN GENE THERAPY,"5,639",3.855,0.007540,1.267
36,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,"10,708",3.824,0.011960,0.614
37,GENE THERAPY,"7,223",3.749,0.007030,0.947
38,New Biotechnology,"2,938",3.739,0.004630,0.821
39,Algal Research-Biomass Biofuels and Bioproducts,"4,778",3.723,0.010660,0.819
40,Advances in Applied Microbiology,"1,695",3.700,0.001850,1.636
41,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"43,697",3.670,0.047570,0.841
42,MOLECULAR PLANT-MICROBE INTERACTIONS,"11,283",3.649,0.008960,1.255
43,Tissue Engineering Part A,"9,754",3.616,0.012370,0.854
44,EXPERT OPINION ON BIOLOGICAL THERAPY,"4,481",3.585,0.007730,0.849
45,ENZYME AND MICROBIAL TECHNOLOGY,"11,801",3.553,0.005540,0.612
46,Biotechnology Journal,"5,615",3.543,0.009790,0.948
47,BIOMASS & BIOENERGY,"20,720",3.537,0.017380,0.768
48,BMC GENOMICS,"39,876",3.501,0.095260,1.312
49,BIOCHEMICAL ENGINEERING JOURNAL,"10,223",3.371,0.009680,0.607
50,GM Crops & Food-Biotechnology in Agriculture and the Food Chain,328,3.333,0.000830,Not Available
51,FOOD AND BIOPRODUCTS PROCESSING,"3,846",3.324,0.004930,0.645
52,Journal of Tissue Engineering and Regenerative Medicine,"4,776",3.319,0.007680,0.711
53,JOURNAL OF BIOTECHNOLOGY,"15,934",3.163,0.017600,0.730
54,GENOMICS,"8,698",3.160,0.005530,0.946
55,Briefings in Functional Genomics,"1,641",3.133,0.003270,1.132
56,OncoTargets and Therapy,"7,177",3.046,0.018610,0.631
57,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,"7,889",2.993,0.007040,0.696
58,Probiotics and Antimicrobial Proteins,716,2.962,0.000940,0.440
59,PROCESS BIOCHEMISTRY,"17,457",2.883,0.010630,0.556
60,BIOFOULING,"4,157",2.847,0.004290,0.717
61,JOURNAL OF GENERAL VIROLOGY,"18,927",2.809,0.018770,0.883
62,SYSTEMATIC AND APPLIED MICROBIOLOGY,"5,118",2.808,0.004490,0.981
63,Environmental Technology & Innovation,545,2.800,0.000850,0.425
64,MARINE BIOTECHNOLOGY,"3,176",2.798,0.002720,0.653
65,DISEASE MARKERS,"3,479",2.761,0.006820,0.603
66,Pharmacogenetics and Genomics,"3,177",2.693,0.003410,0.714
67,JOURNAL OF APPLIED MICROBIOLOGY,"18,997",2.683,0.012760,0.629
68,Journal of Biological Engineering,"1,076",2.667,0.002110,1.105
69,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,"11,188",2.659,0.009380,0.502
70,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,"8,751",2.652,0.007780,0.486
71,Tissue Engineering Part C-Methods,"3,268",2.638,0.005240,0.746
72,JOURNAL OF APPLIED PHYCOLOGY,"9,070",2.635,0.008290,0.471
73,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,"2,021",2.610,0.002550,0.565
74,BIOLOGICAL CONTROL,"7,567",2.607,0.006780,0.639
75,Human Vaccines & Immunotherapeutics,"5,467",2.592,0.019680,0.811
76,MICROBES AND ENVIRONMENTS,"1,732",2.575,0.002510,0.692
