"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENERGY & FUELS','ENGINEERING, ENVIRONMENTAL','ENGINEERING, GEOLOGICAL','ENGINEERING, MARINE','ENGINEERING, OCEAN','ENGINEERING, PETROLEUM','MINING & MINERAL PROCESSING','REMOTE SENSING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Nature Energy,"11,113",54.000,0.040630,16.280
2,Energy & Environmental Science,"81,176",33.250,0.160140,7.518
3,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"11,322",26.467,0.008380,6.414
4,Advanced Energy Materials,"50,724",24.884,0.120600,4.916
5,ACS Energy Letters,"10,134",16.331,0.031350,4.472
6,APPLIED CATALYSIS B-ENVIRONMENTAL,"74,797",14.229,0.092290,1.918
7,Journal of Materials Chemistry A,"126,337",10.733,0.295180,1.874
8,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"88,430",10.556,0.133610,1.877
9,IEEE Geoscience and Remote Sensing Magazine,952,9.659,0.003270,2.696
10,APPLIED ENERGY,"81,221",8.426,0.128490,1.445
11,CHEMICAL ENGINEERING JOURNAL,"95,055",8.355,0.121860,1.213
12,REMOTE SENSING OF ENVIRONMENT,"54,482",8.218,0.048610,1.903
13,WATER RESEARCH,"87,258",7.913,0.075510,1.549
14,PROGRESS IN PHOTOVOLTAICS,"8,325",7.776,0.011390,1.195
15,IEEE Transactions on Sustainable Energy,"8,780",7.650,0.022410,2.205
15,JOURNAL OF HAZARDOUS MATERIALS,"96,476",7.650,0.066050,1.242
17,JOURNAL OF POWER SOURCES,"116,432",7.467,0.134510,1.186
18,ENERGY CONVERSION AND MANAGEMENT,"51,652",7.181,0.068400,1.091
19,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"173,191",7.149,0.177660,1.678
20,RESOURCES CONSERVATION AND RECYCLING,"13,476",7.044,0.010320,0.877
21,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"11,576",6.942,0.018240,1.606
22,Environmental Science & Technology Letters,"2,531",6.934,0.008430,1.977
23,BIORESOURCE TECHNOLOGY,"118,251",6.669,0.106420,0.983
24,JOURNAL OF CLEANER PRODUCTION,"71,233",6.395,0.083700,0.864
25,SOLAR ENERGY MATERIALS AND SOLAR CELLS,"30,400",6.019,0.031820,0.917
26,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"43,741",5.630,0.046970,1.314
