"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'HEALTH CARE SCIENCES & SERVICES','HEALTH POLICY & SERVICES','INFECTIOUS DISEASES','MEDICAL ETHICS','MEDICAL INFORMATICS','MEDICINE, LEGAL','NURSING','NUTRITION & DIETETICS','PARASITOLOGY','PSYCHOLOGY, PSYCHOANALYSIS','PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH','REHABILITATION','SOCIAL SCIENCES, BIOMEDICAL','SPORT SCIENCES','SUBSTANCE ABUSE','TROPICAL MEDICINE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,LANCET INFECTIOUS DISEASES,"23,088",27.516,0.073320,9.880
2,Lancet Global Health,"6,109",15.873,0.034340,9.323
2,Lancet Global Health,"6,109",15.873,0.034340,9.323
4,Cell Host & Microbe,"17,787",15.753,0.063220,7.458
5,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"26,534",14.874,0.097940,5.434
6,Lancet HIV,"2,417",14.753,0.014260,7.016
7,PROGRESS IN LIPID RESEARCH,"5,839",12.540,0.007150,3.567
8,BRITISH JOURNAL OF SPORTS MEDICINE,"21,929",11.645,0.039730,2.836
9,Lancet Public Health,799,11.600,0.003770,5.712
9,Lancet Public Health,799,11.600,0.003770,5.712
11,Annual Review of Public Health,"6,769",10.776,0.011690,6.814
11,Annual Review of Public Health,"6,769",10.776,0.011690,6.814
13,Analytic Methods in Accident Research,669,9.333,0.002420,Not Available
14,CLINICAL INFECTIOUS DISEASES,"64,031",9.055,0.118940,3.653
15,Annual Review of Nutrition,"5,565",8.422,0.004320,3.241
16,TRENDS IN PARASITOLOGY,"6,640",8.020,0.012220,2.675
17,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,166",7.736,0.039540,2.755
18,SPORTS MEDICINE,"16,366",7.583,0.022460,2.554
19,MILBANK QUARTERLY,"3,936",7.425,0.004610,3.491
19,MILBANK QUARTERLY,"3,936",7.425,0.004610,3.491
21,Eurosurveillance,"9,131",7.421,0.031650,2.432
22,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"23,097",7.339,0.050810,4.608
23,Advances in Nutrition,"4,896",7.240,0.012140,2.317
24,EMERGING INFECTIOUS DISEASES,"30,311",7.185,0.059400,2.725
25,Alcohol Research-Current Reviews,804,7.174,0.002760,2.526
26,BMJ Quality & Safety,"5,234",7.043,0.017260,2.636
26,BMJ Quality & Safety,"5,234",7.043,0.017260,2.636
28,ADDICTION,"19,945",6.851,0.032080,2.484
28,ADDICTION,"19,945",6.851,0.032080,2.484
30,BULLETIN OF THE WORLD HEALTH ORGANIZATION,"15,736",6.818,0.018110,3.103
31,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"12,591",6.704,0.015020,1.458
32,AMERICAN JOURNAL OF CLINICAL NUTRITION,"59,513",6.568,0.053460,2.457
33,EUROPEAN JOURNAL OF EPIDEMIOLOGY,"7,785",6.529,0.016940,3.004
34,PLoS Pathogens,"43,751",6.463,0.118900,2.669
35,EPIDEMIOLOGIC REVIEWS,"3,477",6.455,0.003470,4.388
35,EXERCISE IMMUNOLOGY REVIEW,754,6.455,0.000890,1.695
