"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, BIOMATERIALS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,BIOMATERIALS,"109,384",10.273,0.102150,1.989
2,Biofabrication,"3,599",7.236,0.006690,1.334
3,Acta Biomaterialia,"34,157",6.638,0.050140,1.407
4,Advanced Healthcare Materials,"9,022",6.270,0.023280,1.415
5,Biomaterials Science,"4,345",5.251,0.010840,0.991
6,Journal of Materials Chemistry B,"21,758",5.047,0.050780,0.916
7,Materials Science & Engineering C-Materials for Biological Applications,"29,043",4.959,0.046200,0.751
8,ACS Biomaterials Science & Engineering,"3,803",4.511,0.009480,0.968
9,Artificial Cells Nanomedicine and Biotechnology,"3,209",4.462,0.003030,0.360
10,DENTAL MATERIALS,"14,193",4.440,0.013180,1.082
11,COLLOIDS AND SURFACES B-BIOINTERFACES,"28,072",3.973,0.033760,0.688
12,EUROPEAN CELLS & MATERIALS,"3,184",3.682,0.003620,1.068
13,Journal of the Mechanical Behavior of Biomedical Materials,"9,407",3.485,0.019200,0.818
14,Biomedical Materials,"3,514",3.440,0.004300,0.635
15,Regenerative Biomaterials,501,3.382,0.001200,Not Available
16,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,"17,201",3.221,0.015690,0.643
17,Bioinspiration & Biomimetics,"2,648",3.130,0.005740,0.943
18,MACROMOLECULAR BIOSCIENCE,"6,764",2.895,0.006750,0.611
19,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,"8,703",2.674,0.007740,0.604
20,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,"10,868",2.467,0.007820,0.509
21,Journal of Bionic Engineering,"1,391",2.463,0.001770,0.429
22,JOURNAL OF BIOMATERIALS APPLICATIONS,"2,409",2.442,0.003400,0.428
23,International Journal of Polymeric Materials and Polymeric Biomaterials,"1,658",2.263,0.001840,0.251
24,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,"4,262",2.121,0.002830,0.331
25,Biointerphases,"1,731",2.009,0.002490,0.490
26,JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,"1,057",1.976,0.000830,0.293
27,DENTAL MATERIALS JOURNAL,"2,560",1.424,0.002690,0.342
28,Journal of Applied Biomaterials & Functional Materials,408,1.403,0.000820,0.265
29,Journal of Oral Science,"1,323",1.104,0.001260,0.298
30,BIO-MEDICAL MATERIALS AND ENGINEERING,"1,583",0.993,0.002420,0.193
31,Bioinspired Biomimetic and Nanobiomaterials,111,0.973,0.000230,0.170
32,CELLULAR POLYMERS,268,0.839,0.000120,0.136
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
