"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'LINGUISTICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,THEORETICAL LINGUISTICS,407,4.500,0.000500,1.103
2,JOURNAL OF SECOND LANGUAGE WRITING,"1,682",4.200,0.001530,1.213
3,JOURNAL OF MEMORY AND LANGUAGE,"9,683",3.858,0.011460,2.539
4,MODERN LANGUAGE JOURNAL,"4,142",3.762,0.003310,1.027
5,APPLIED LINGUISTICS,"3,777",3.041,0.003350,1.578
6,TESOL QUARTERLY,"3,936",2.718,0.002650,0.994
7,Bilingualism-Language and Cognition,"2,631",2.701,0.004340,1.111
8,BRAIN AND LANGUAGE,"6,613",2.700,0.008070,1.188
9,International Journal of Bilingual Education and Bilingualism,"1,423",2.620,0.002220,0.784
10,STUDIES IN SECOND LANGUAGE ACQUISITION,"2,228",2.600,0.001690,1.038
11,LANGUAGE LEARNING & TECHNOLOGY,"1,343",2.571,0.001480,0.771
12,Annual Review of Applied Linguistics,"1,017",2.481,0.001100,1.308
13,JOURNAL OF PHONETICS,"2,795",2.462,0.002360,0.763
14,Language Cognition and Neuroscience,902,2.444,0.004590,0.988
15,Annual Review of Linguistics,193,2.436,0.000930,1.218
16,Linguistic Approaches to Bilingualism,429,2.388,0.000870,0.640
17,JOURNAL OF FLUENCY DISORDERS,"1,419",2.349,0.000870,0.611
18,Language Teaching Research,"1,256",2.319,0.001260,0.643
19,COMPUTATIONAL LINGUISTICS,"2,138",2.130,0.001250,0.737
20,Computer Assisted Language Learning,"1,043",2.018,0.001170,0.465
21,LANGUAGE LEARNING,"3,675",2.000,0.003290,1.192
22,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,"1,324",1.956,0.001680,1.146
23,SYSTEM,"2,993",1.930,0.003380,0.586
24,LANGUAGE,"4,007",1.899,0.002020,0.844
25,Assessing Writing,514,1.841,0.000770,0.579
26,JOURNAL OF CHILD LANGUAGE,"3,103",1.815,0.002880,0.762
27,FOREIGN LANGUAGE ANNALS,"1,552",1.782,0.000730,0.273
28,Journal of Semantics,721,1.773,0.000780,0.656
29,APPLIED PSYCHOLINGUISTICS,"2,532",1.760,0.002730,0.826
30,SECOND LANGUAGE RESEARCH,949,1.750,0.000940,0.684
31,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,"7,768",1.749,0.007460,0.634
32,Journal of English for Academic Purposes,"1,221",1.732,0.001280,0.591
33,ENGLISH FOR SPECIFIC PURPOSES,"1,683",1.704,0.000840,0.480
34,LANGUAGE IN SOCIETY,"1,779",1.660,0.001440,0.959
34,MIND & LANGUAGE,"1,396",1.660,0.001030,0.587
36,JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,"1,075",1.639,0.001630,0.492
37,COGNITIVE LINGUISTICS,"1,174",1.630,0.001000,0.739
38,JOURNAL OF SOCIOLINGUISTICS,"1,285",1.574,0.001540,0.919
39,Language Culture and Curriculum,523,1.571,0.000810,0.662
40,Language Teaching,"1,295",1.565,0.001470,0.977
41,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,"1,786",1.538,0.000830,0.463
42,JOURNAL OF COMMUNICATION DISORDERS,"2,066",1.536,0.001580,0.568
43,Linguistics and Education,872,1.516,0.001130,0.453
44,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,"2,052",1.504,0.002510,0.632
45,LANGUAGE AND SPEECH,"1,548",1.436,0.001330,0.774
46,Language and Intercultural Communication,456,1.433,0.000780,0.413
47,Natural Language Semantics,692,1.381,0.000360,0.538
48,International Journal of Multilingualism,520,1.375,0.000690,Not Available
49,ReCALL,633,1.361,0.000720,0.598
50,Gesture,422,1.357,0.000340,0.470
51,ELT Journal,"1,608",1.351,0.000760,0.325
52,JOURNAL OF PRAGMATICS,"5,762",1.329,0.006290,0.696
53,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,"2,271",1.321,0.002470,0.542
54,Argumentation,583,1.300,0.000400,0.270
55,LANGUAGE & COMMUNICATION,"1,179",1.292,0.001390,0.477
56,International Journal of Speech-Language Pathology,"1,043",1.280,0.001890,0.481
57,International Journal of Bilingualism,"1,001",1.259,0.001460,0.578
58,JOURNAL OF NEUROLINGUISTICS,"1,015",1.247,0.001180,0.457
59,METAPHOR AND SYMBOL,614,1.233,0.000470,0.477
60,NATURAL LANGUAGE & LINGUISTIC THEORY,"1,459",1.231,0.001160,0.503
61,Intercultural Pragmatics,434,1.188,0.000700,0.581
62,Language Learning and Development,517,1.185,0.001030,Not Available
63,Language and Education,792,1.164,0.001000,0.486
64,Across Languages and Cultures,97,1.160,0.000270,0.325
65,Language Testing,"1,455",1.154,0.000980,0.563
66,Interaction Studies,419,1.150,0.000420,0.297
67,Language Acquisition,738,1.147,0.000570,0.521
68,Natural Language Engineering,443,1.130,0.000450,0.258
69,JOURNAL OF LINGUISTICS,768,1.125,0.000460,0.400
70,Journal of Linguistic Anthropology,627,1.114,0.000650,0.584
71,Applied Linguistics Review,275,1.098,0.000880,0.721
71,LINGUISTIC INQUIRY,"2,692",1.098,0.001040,0.703
73,Journal of Language and Politics,407,1.093,0.000630,0.283
74,CLINICAL LINGUISTICS & PHONETICS,"1,315",1.083,0.001170,0.301
75,LINGUISTICS,"1,385",1.066,0.000880,0.358
76,Laboratory Phonology,219,1.065,0.000730,0.611
77,Literacy,257,1.054,0.000460,0.378
78,TOPICS IN LANGUAGE DISORDERS,724,1.049,0.000530,0.396
79,First Language,767,1.032,0.000980,0.515
80,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"1,448",1.014,0.001460,0.614
81,Language Policy,547,1.000,0.001060,0.849
81,Terminology,186,1.000,0.000130,0.221
83,Current Issues in Language Planning,355,0.978,0.000650,Not Available
84,Language Assessment Quarterly,507,0.976,0.000630,0.469
85,LINGUA,"2,415",0.963,0.003130,0.455
86,Corpus Linguistics and Linguistic Theory,240,0.960,0.000350,0.457
87,Interpreting,323,0.947,0.000420,0.678
88,Journal of Historical Pragmatics,153,0.941,0.000180,0.286
88,Translation Studies,560,0.941,0.000460,0.389
90,World Englishes,"1,159",0.934,0.000930,0.387
91,Language and Cognition,305,0.917,0.000750,Not Available
92,Language Variation and Change,666,0.900,0.000860,0.889
93,Language Awareness,491,0.875,0.000510,0.377
94,JOURNAL OF ENGLISH LINGUISTICS,287,0.864,0.000500,0.634
95,JOURNAL OF PIDGIN AND CREOLE LANGUAGES,170,0.862,0.000270,0.304
96,Phonology,569,0.861,0.000540,0.534
97,Child Language Teaching & Therapy,421,0.860,0.000590,0.413
98,LANGUAGE SCIENCES,811,0.853,0.001220,0.297
99,Pragmatics,862,0.848,0.000900,0.526
100,International Journal of Corpus Linguistics,587,0.829,0.000730,0.549
101,PHONETICA,705,0.826,0.000370,0.484
102,Journal of Quantitative Linguistics,330,0.824,0.000300,0.252
103,Multilingua-Journal of Cross-Cultural and Interlanguage Communication,437,0.800,0.000690,0.382
104,LINGUISTICS AND PHILOSOPHY,"1,495",0.788,0.000500,0.512
105,Journal of Comparative Germanic Linguistics,140,0.786,0.000180,0.399
106,Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,348,0.760,0.000440,0.530
107,English Language & Linguistics,269,0.750,0.000570,0.414
108,Translator,455,0.744,0.000450,0.394
109,Diachronica,203,0.741,0.000520,0.535
110,Journal of Language Identity and Education,507,0.736,0.000750,0.472
111,VIAL-Vigo International Journal of Applied Linguistics,61,0.727,0.000040,0.115
112,English Teaching-Practice and Critique,294,0.704,0.000240,0.139
112,Social Semiotics,550,0.704,0.000920,0.396
114,Language and Literature,313,0.692,0.000220,0.169
115,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,571,0.667,0.000620,0.585
115,Journal of Specialised Translation,237,0.667,0.000320,Not Available
117,Interpreter and Translator Trainer,299,0.658,0.000480,0.386
118,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"1,352",0.655,0.000960,0.243
119,Perspectives-Studies in Translation Theory and Practice,401,0.654,0.000780,0.326
120,Journal of Politeness Research-Language Behaviour Culture,411,0.652,0.000530,0.745
121,Zeitschrift fur Sprachwissenschaft,116,0.650,0.000140,0.290
122,English World-Wide,224,0.609,0.000400,0.554
123,Target-International Journal of Translation Studies,433,0.605,0.000610,0.507
124,JOURNAL OF EAST ASIAN LINGUISTICS,273,0.600,0.000200,0.248
125,INTERNATIONAL JOURNAL OF LEXICOGRAPHY,310,0.590,0.000240,0.216
126,INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,310,0.581,0.000170,0.143
127,Journal of the International Phonetic Association,387,0.568,0.000360,0.291
127,Pragmatics & Cognition,281,0.568,0.000200,0.169
129,Revista Signos,154,0.551,0.000130,0.097
130,Australian Journal of Linguistics,210,0.538,0.000340,0.256
131,English Today,365,0.533,0.000210,0.089
132,Journal of French Language Studies,188,0.525,0.000190,0.157
133,NARRATIVE INQUIRY,496,0.514,0.000300,0.233
134,Porta Linguarum,230,0.506,0.000210,0.088
135,Linguistic Typology,343,0.500,0.000170,0.161
135,Sintagma,25,0.500,0.000040,0.104
137,Lexikos,151,0.489,0.000110,0.076
137,Pragmatics and Society,116,0.489,0.000460,0.333
139,International Journal of Speech Language and the Law,172,0.474,0.000140,0.215
140,Spanish in Context,122,0.472,0.000160,0.149
141,FOLIA LINGUISTICA,269,0.463,0.000260,0.198
141,LINGUISTIC REVIEW,420,0.463,0.000400,0.321
143,Language Problems & Language Planning,143,0.444,0.000110,0.128
144,CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,773,0.442,0.000420,0.322
145,Functions of Language,188,0.435,0.000220,0.331
145,PROBUS,222,0.435,0.000170,0.281
147,Gender and Language,105,0.429,0.000170,0.150
147,Iberica,233,0.429,0.000190,0.155
149,Digital Scholarship in the Humanities,113,0.418,0.000450,0.174
150,AMERICAN SPEECH,557,0.413,0.000350,0.259
151,Slovo a Slovesnost,99,0.412,0.000030,0.036
152,Revue Francaise de Linguistique Appliquee,72,0.407,0.000020,0.023
153,Review of Cognitive Linguistics,81,0.405,0.000120,0.105
154,Journal of Germanic Linguistics,82,0.400,0.000260,0.429
154,Text & Talk,451,0.400,0.000670,0.313
156,Babel-Revue Internationale de la Traduction-International Journal of Translation,140,0.390,0.000160,0.094
157,Southern African Linguistics and Applied Language Studies,182,0.377,0.000170,0.090
158,HISTORIOGRAPHIA LINGUISTICA,77,0.375,0.000050,0.076
159,JOURNAL OF CHINESE LINGUISTICS,197,0.355,0.000110,0.090
160,Language & History,35,0.353,0.000110,0.245
161,European Journal of English Studies,127,0.351,0.000110,0.086
162,Poznan Studies in Contemporary Linguistics,79,0.347,0.000180,0.122
163,Language and Linguistics,216,0.333,0.000260,0.139
164,Translation and Interpreting Studies,113,0.316,0.000440,0.418
165,RLA-Revista de Linguistica Teorica y Aplicada,108,0.296,0.000100,0.110
166,Journal of African Languages and Linguistics,95,0.267,0.000080,0.186
167,Circulo de Linguistica Aplicada a la Comunicacion,89,0.263,0.000090,0.039
168,STUDIES IN LANGUAGE,544,0.260,0.000490,0.300
169,Onomazein,173,0.240,0.000350,0.122
170,INDOGERMANISCHE FORSCHUNGEN,85,0.237,0.000000,0.000
171,Revista Espanola de Linguistica Aplicada,191,0.233,0.000130,0.078
172,Acta Linguistica Hungarica,150,0.231,0.000150,0.143
173,Names-A Journal of Onomastics,152,0.227,0.000090,0.066
174,RILCE-Revista de Filologia Hispanica,115,0.221,0.000070,0.038
175,Linguistica Antverpiensia New Series-Themes in Translation Studies,106,0.214,0.000120,0.135
176,Language Matters,101,0.200,0.000180,0.135
177,Revue Roumaine de Linguistique-Romanian Review of Linguistics,78,0.189,0.000030,0.024
178,Africana Linguistica,66,0.154,0.000110,0.196
179,Langages,289,0.151,0.000020,Not Available
180,Nordic Journal of Linguistics,83,0.130,0.000100,0.131
180,ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,61,0.130,0.000010,0.034
182,Atlantis-Journal of the Spanish Association of Anglo-American Studies,84,0.075,0.000050,0.041
183,Dialectologia et Geolinguistica,14,0.071,0.000010,0.028
183,ESTUDIOS FILOLOGICOS,49,0.071,0.000030,0.028
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
