"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, CERAMICS','MATERIALS SCIENCE, CHARACTERIZATION & TESTING','MATERIALS SCIENCE, COATINGS & FILMS','MATERIALS SCIENCE, COMPOSITES','MATERIALS SCIENCE, MULTIDISCIPLINARY','MATERIALS SCIENCE, PAPER & WOOD','MATERIALS SCIENCE, TEXTILES','METALLURGY & METALLURGICAL ENGINEERING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Nature Reviews Materials,"7,901",74.449,0.033870,26.175
2,Nature Energy,"11,113",54.000,0.040630,16.280
3,NATURE MATERIALS,"97,792",38.887,0.177350,16.602
4,Nature Nanotechnology,"63,245",33.407,0.154930,16.051
5,ADVANCED MATERIALS,"229,186",25.809,0.409360,5.816
6,Advanced Energy Materials,"50,724",24.884,0.120600,4.916
7,Materials Today,"12,566",24.372,0.018830,6.859
8,PROGRESS IN MATERIALS SCIENCE,"14,580",23.725,0.016820,7.674
9,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,206",22.250,0.006250,7.898
10,INTERNATIONAL MATERIALS REVIEWS,"5,262",21.086,0.004960,4.223
11,Annual Review of Materials Research,"8,086",16.816,0.007830,5.994
12,Nano Today,"7,980",16.582,0.012950,4.584
13,ACS Energy Letters,"10,134",16.331,0.031350,4.472
14,Advanced Science,"8,129",15.804,0.021030,3.456
15,ADVANCED FUNCTIONAL MATERIALS,"95,431",15.621,0.175960,3.398
16,Nano Energy,"37,106",15.548,0.087250,3.046
17,Materials Horizons,"4,587",14.356,0.013710,3.350
18,ACS Nano,"152,659",13.903,0.325680,3.885
19,NANO LETTERS,"163,570",12.279,0.300590,4.018
20,Small,"49,968",10.856,0.091440,2.200
21,Journal of Materials Chemistry A,"126,337",10.733,0.295180,1.874
22,CHEMISTRY OF MATERIALS,"106,568",10.159,0.150250,2.480
23,npj Computational Materials,954,9.200,0.003660,3.230
24,Nanoscale Horizons,888,9.095,0.002340,2.113
25,Nano-Micro Letters,"2,209",9.043,0.003590,1.249
26,Nano Research,"16,517",8.515,0.031810,1.796
27,ACS Applied Materials & Interfaces,"170,096",8.456,0.366350,1.650
28,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"3,955",8.418,0.004700,2.174
29,NPG Asia Materials,"4,387",8.052,0.011090,2.182
30,Applied Materials Today,"1,608",8.013,0.003470,1.532
31,PROGRESS IN PHOTOVOLTAICS,"8,325",7.776,0.011390,1.195
32,JOURNAL OF POWER SOURCES,"116,432",7.467,0.134510,1.186
33,CARBON,"74,892",7.466,0.085220,1.343
34,Materials Research Letters,"1,564",7.440,0.005240,2.004
35,2D Materials,"5,487",7.343,0.022810,2.730
36,Journal of Physical Chemistry Letters,"45,404",7.329,0.124320,2.410
37,ACTA MATERIALIA,"73,990",7.293,0.090920,1.816
38,Additive Manufacturing,"2,445",7.173,0.005200,Not Available
39,ACS Photonics,"9,956",7.143,0.033660,2.200
40,Advanced Optical Materials,"8,586",7.125,0.026060,1.869
41,Nanoscale,"92,732",6.970,0.208020,1.591
42,Nanophotonics,"1,936",6.908,0.006090,2.188
43,COMPOSITES PART B-ENGINEERING,"30,167",6.864,0.045750,1.031
44,Virtual and Physical Prototyping,993,6.825,0.001870,Not Available
45,Journal of Materials Chemistry C,"40,067",6.641,0.097440,1.159
46,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,"1,475",6.455,0.001690,1.686
47,CORROSION SCIENCE,"37,952",6.355,0.028730,1.015
48,Advanced Electronic Materials,"3,886",6.312,0.011930,1.611
49,COMPOSITES SCIENCE AND TECHNOLOGY,"33,219",6.309,0.022750,1.086
50,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"23,757",6.282,0.022260,1.086
51,SOLAR ENERGY MATERIALS AND SOLAR CELLS,"30,400",6.019,0.031820,0.917
52,INTERNATIONAL JOURNAL OF PLASTICITY,"11,299",5.800,0.013670,1.507
53,MATERIALS & DESIGN,"53,840",5.770,0.089010,1.122
54,Science China-Materials,"1,878",5.636,0.003590,0.942
55,CEMENT AND CONCRETE RESEARCH,"34,278",5.618,0.016240,1.380
56,Advanced Materials Technologies,"1,429",5.395,0.003380,1.151
57,CEMENT & CONCRETE COMPOSITES,"14,951",5.172,0.014350,1.334
58,APPLIED SURFACE SCIENCE,"92,186",5.155,0.108900,0.671
59,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,"6,754",5.040,0.009080,0.707
60,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,"1,243",5.015,0.002000,0.957
61,Sustainable Energy & Fuels,"1,344",4.912,0.002650,0.985
62,COMPOSITE STRUCTURES,"35,620",4.829,0.049700,0.912
63,IUCrJ,"1,363",4.756,0.006430,2.074
64,Advanced Materials Interfaces,"6,238",4.713,0.016500,1.055
65,MRS BULLETIN,"7,862",4.655,0.010250,1.715
66,SCRIPTA MATERIALIA,"33,032",4.539,0.033680,1.226
67,Journal of Magnesium and Alloys,952,4.523,0.002360,Not Available
68,Journal of Physical Chemistry C,"149,348",4.309,0.216940,1.017
69,APL Materials,"4,061",4.296,0.014770,1.409
70,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,"3,379",4.194,0.006390,0.806
71,MICROPOROUS AND MESOPOROUS MATERIALS,"25,303",4.182,0.024180,0.670
72,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,"33,606",4.178,0.021130,0.874
73,JOURNAL OF ALLOYS AND COMPOUNDS,"102,817",4.175,0.131770,0.601
74,CRYSTAL GROWTH & DESIGN,"29,940",4.153,0.037860,0.762
