"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"11,322",26.467,0.008380,6.414
2,Annual Review of Fluid Mechanics,"12,706",17.214,0.011270,7.690
3,Advances in Applied Mechanics,"1,381",10.667,0.000280,1.816
4,ENERGY CONVERSION AND MANAGEMENT,"51,652",7.181,0.068400,1.091
5,PROGRESS IN AEROSPACE SCIENCES,"3,794",6.814,0.004610,2.227
6,Applied Mechanics Reviews,"4,208",6.138,0.003490,3.148
7,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"14,467",6.039,0.008900,1.390
8,INTERNATIONAL JOURNAL OF PLASTICITY,"11,299",5.800,0.013670,1.507
9,ENERGY,"64,992",5.537,0.089190,0.966
10,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,"1,243",5.015,0.002000,0.957
11,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,"18,529",5.005,0.022410,0.974
12,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"10,578",4.943,0.018620,1.143
13,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"29,875",4.821,0.038350,1.635
14,NONLINEAR DYNAMICS,"20,658",4.604,0.036420,0.875
15,International Journal of Precision Engineering and Manufacturing-Green Technology,846,4.561,0.001630,0.663
16,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,"59,146",4.346,0.060210,0.785
17,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,"13,442",4.134,0.018890,0.876
18,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,"9,780",4.127,0.012140,0.880
19,COMBUSTION AND FLAME,"23,281",4.120,0.019850,0.922
20,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,"18,866",4.087,0.019250,1.515
21,Extreme Mechanics Letters,"1,439",4.075,0.005890,Not Available
22,APPLIED THERMAL ENGINEERING,"43,042",4.026,0.066100,0.733
23,Communications in Nonlinear Science and Numerical Simulation,"11,888",3.967,0.019480,0.885
24,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"8,696",3.925,0.012120,1.022
25,INTERNATIONAL JOURNAL OF FATIGUE,"13,715",3.673,0.014320,0.711
26,Smart Structures and Systems,"2,156",3.622,0.003300,0.432
27,ENGINEERING WITH COMPUTERS,"1,362",3.551,0.001990,0.584
28,MECHANISM AND MACHINE THEORY,"8,565",3.535,0.008250,0.665
29,TRIBOLOGY INTERNATIONAL,"15,027",3.517,0.017170,0.638
30,EXPERIMENTAL THERMAL AND FLUID SCIENCE,"11,038",3.493,0.015080,0.802
31,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,"11,793",3.488,0.014250,0.778
32,JOURNAL OF RHEOLOGY,"6,581",3.468,0.006180,1.108
33,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,"6,260",3.343,0.006110,0.526
34,Nanoscale and Microscale Thermophysical Engineering,467,3.323,0.001170,1.019
35,PROCEEDINGS OF THE COMBUSTION INSTITUTE,"12,413",3.299,0.018830,1.073
36,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,"11,336",3.177,0.011200,0.634
37,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,"9,115",3.173,0.008940,0.828
38,COMPUTATIONAL MECHANICS,"6,151",3.159,0.010300,1.116
39,International Journal of Mechanics and Materials in Design,800,3.143,0.001220,0.598
39,Journal of Astronomical Telescopes Instruments and Systems,690,3.143,0.001620,0.857
41,JOURNAL OF FLUID MECHANICS,"62,018",3.137,0.051140,1.078
42,WIND ENERGY,"4,306",3.125,0.004720,0.598
43,JOURNAL OF SOUND AND VIBRATION,"36,167",3.123,0.027520,0.807
44,JOURNAL OF FLUIDS AND STRUCTURES,"7,994",3.070,0.010190,0.897
45,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,"10,915",3.010,0.007320,0.695
46,Friction,504,3.000,0.001370,0.669
47,MECHATRONICS,"4,499",2.978,0.005370,0.700
48,MECHANICS OF MATERIALS,"7,353",2.958,0.008250,0.844
49,WEAR,"27,268",2.950,0.016150,0.646
50,JOURNAL OF THERMAL STRESSES,"2,475",2.943,0.002310,0.428
51,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,"4,737",2.931,0.006820,0.788
52,ENGINEERING FRACTURE MECHANICS,"15,598",2.908,0.013680,0.672
53,INTERNATIONAL JOURNAL OF FRACTURE,"7,329",2.884,0.004880,0.825
54,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,"1,856",2.873,0.002890,0.436
55,JOURNAL OF VIBRATION AND CONTROL,"5,075",2.865,0.007480,0.490
56,THEORETICAL AND APPLIED FRACTURE MECHANICS,"2,593",2.848,0.003820,0.614
57,Archives of Civil and Mechanical Engineering,"1,854",2.846,0.002680,0.466
58,APPLIED MATHEMATICAL MODELLING,"16,888",2.841,0.027930,0.687
59,AEROSPACE SCIENCE AND TECHNOLOGY,"6,609",2.829,0.012890,0.640
59,INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,"9,751",2.829,0.009290,0.884
61,JOURNAL OF MECHANICAL DESIGN,"8,053",2.828,0.005550,0.619
62,STRUCTURAL ENGINEERING AND MECHANICS,"4,236",2.804,0.004670,0.289
63,RAPID PROTOTYPING JOURNAL,"4,335",2.801,0.003450,0.682
64,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,"12,904",2.797,0.013030,0.839
65,INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,"25,294",2.787,0.021180,0.835
66,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,"14,182",2.772,0.007240,0.708
67,CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,"3,759",2.652,0.002920,0.566
68,PHYSICS OF FLUIDS,"34,281",2.627,0.035420,0.920
69,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,"5,623",2.616,0.005450,0.521
70,VEHICLE SYSTEM DYNAMICS,"4,521",2.613,0.003500,0.563
71,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"4,974",2.606,0.005440,0.844
72,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,"7,203",2.592,0.004250,0.449
73,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,"4,738",2.555,0.003850,0.458
74,JOURNAL OF NUCLEAR MATERIALS,"30,454",2.547,0.031700,0.608
75,RHEOLOGICA ACTA,"4,414",2.531,0.003990,0.796
76,FLUID PHASE EQUILIBRIA,"14,757",2.514,0.013440,0.459
77,ACTA ASTRONAUTICA,"8,843",2.482,0.013560,0.512
78,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,"5,651",2.481,0.006770,0.904
79,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,"17,550",2.471,0.014990,0.280
80,FINITE ELEMENTS IN ANALYSIS AND DESIGN,"4,265",2.456,0.005020,0.818
81,EXPERIMENTS IN FLUIDS,"9,758",2.443,0.009660,0.719
82,Surface Topography-Metrology and Properties,384,2.439,0.001300,Not Available
