"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'NANOSCIENCE & NANOTECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Nature Reviews Materials,"7,901",74.449,0.033870,26.175
2,Nature Nanotechnology,"63,245",33.407,0.154930,16.051
3,ADVANCED MATERIALS,"229,186",25.809,0.409360,5.816
4,Nano Today,"7,980",16.582,0.012950,4.584
5,ACS Energy Letters,"10,134",16.331,0.031350,4.472
6,Advanced Science,"8,129",15.804,0.021030,3.456
7,ADVANCED FUNCTIONAL MATERIALS,"95,431",15.621,0.175960,3.398
8,Nano Energy,"37,106",15.548,0.087250,3.046
9,ACS Nano,"152,659",13.903,0.325680,3.885
10,NANO LETTERS,"163,570",12.279,0.300590,4.018
11,Small,"49,968",10.856,0.091440,2.200
12,BIOSENSORS & BIOELECTRONICS,"57,168",9.518,0.077810,1.281
13,Nanoscale Horizons,888,9.095,0.002340,2.113
14,Nano-Micro Letters,"2,209",9.043,0.003590,1.249
15,Nano Research,"16,517",8.515,0.031810,1.796
16,ACS Applied Materials & Interfaces,"170,096",8.456,0.366350,1.650
17,Environmental Science-Nano,"3,769",7.704,0.008570,1.521
18,Journal of Physical Chemistry Letters,"45,404",7.329,0.124320,2.410
19,ACS Photonics,"9,956",7.143,0.033660,2.200
20,Nanoscale,"92,732",6.970,0.208020,1.591
21,ACS Sensors,"3,439",6.944,0.008550,1.462
22,LAB ON A CHIP,"31,678",6.914,0.046810,1.523
23,Nanophotonics,"1,936",6.908,0.006090,2.188
24,Advanced Electronic Materials,"3,886",6.312,0.011930,1.611
25,Advanced Healthcare Materials,"9,022",6.270,0.023280,1.415
26,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,"2,345",6.140,0.004140,1.340
27,Nanotoxicology,"4,675",5.955,0.007920,1.137
28,Microsystems & Nanoengineering,683,5.616,0.002160,1.544
29,Nanomedicine-Nanotechnology Biology and Medicine,"10,131",5.570,0.014480,1.132
30,JOURNAL OF NANOBIOTECHNOLOGY,"3,534",5.345,0.005330,1.092
31,Nanomedicine,"7,763",4.717,0.011840,1.039
32,SCRIPTA MATERIALIA,"33,032",4.539,0.033680,1.226
33,International Journal of Nanomedicine,"20,118",4.471,0.027770,0.826
34,Journal of Physical Chemistry C,"149,348",4.309,0.216940,1.017
35,APL Materials,"4,061",4.296,0.014770,1.409
36,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,"3,379",4.194,0.006390,0.806
37,MICROPOROUS AND MESOPOROUS MATERIALS,"25,303",4.182,0.024180,0.670
38,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,"79,492",4.081,0.065820,0.763
39,Nanomaterials,"4,955",4.034,0.008390,0.704
40,ChemNanoMat,"1,249",3.431,0.003310,0.777
41,NANOTECHNOLOGY,"43,992",3.399,0.048150,0.744
42,Nano Convergence,461,3.324,0.001220,Not Available
43,Nanoscale and Microscale Thermophysical Engineering,467,3.323,0.001170,1.019
44,Applied Nanoscience,"2,233",3.198,0.003100,0.442
45,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,"8,676",3.176,0.010430,0.443
46,Nanoscale Research Letters,"16,143",3.159,0.023390,0.615
47,Plasmonics,"3,701",2.926,0.006180,0.433
48,Nanotechnology Reviews,547,2.759,0.001090,0.426
49,Molecular Systems Design & Engineering,333,2.708,0.000990,0.844
