"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'AGRICULTURAL ECONOMICS & POLICY','AGRICULTURAL ENGINEERING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,BIORESOURCE TECHNOLOGY,"118,251",6.669,0.106420,0.983
2,INDUSTRIAL CROPS AND PRODUCTS,"24,187",4.191,0.035100,0.702
3,FOOD POLICY,"6,102",3.788,0.009030,1.258
4,BIOMASS & BIOENERGY,"20,720",3.537,0.017380,0.768
5,BIOSYSTEMS ENGINEERING,"6,384",2.983,0.006070,0.561
6,Annual Review of Resource Economics,745,2.978,0.002660,1.739
7,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,"7,933",2.532,0.006790,1.196
8,JOURNAL OF AGRICULTURAL ECONOMICS,"2,042",2.506,0.002150,0.827
9,AGRICULTURAL ECONOMICS,"3,776",2.423,0.004620,0.998
10,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,"1,497",2.419,0.001670,0.781
11,AQUACULTURAL ENGINEERING,"2,397",2.143,0.001840,0.507
12,Applied Economic Perspectives and Policy,672,1.938,0.001700,0.815
13,Agribusiness,981,1.635,0.000740,0.330
14,Journal of Wine Economics,306,1.522,0.000400,Not Available
15,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,"1,036",1.370,0.001050,0.462
16,International Journal of Agricultural and Biological Engineering,"1,099",1.349,0.001350,0.192
17,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,461",1.340,0.002460,0.345
18,Paddy and Water Environment,887,1.264,0.001180,0.298
19,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,"1,030",1.192,0.000820,0.522
20,Transactions of the ASABE,"10,003",1.153,0.003050,0.254
21,China Agricultural Economic Review,362,1.050,0.000550,0.224
22,Agricultural Economics-Zemedelska Ekonomika,455,1.000,0.000340,0.095
23,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,685,0.950,0.000630,0.333
24,International Food and Agribusiness Management Review,757,0.937,0.000700,0.188
25,APPLIED ENGINEERING IN AGRICULTURE,"2,047",0.740,0.001320,0.203
26,German Journal of Agricultural Economics,158,0.667,0.000390,0.249
27,Revista Brasileira de Engenharia Agricola e Ambiental,"1,753",0.649,0.001950,0.168
28,Engenharia Agricola,830,0.541,0.000870,0.111
29,Custos e Agronegocio On Line,197,0.390,0.000120,0.026
30,Agrekon,350,0.326,0.000160,0.095
31,AMA-Agricultural Mechanization in Asia Africa and Latin America,112,0.148,0.000090,0.028
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
