"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MULTIDISCIPLINARY','FOOD SCIENCE & TECHNOLOGY','IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY','INSTRUMENTS & INSTRUMENTATION','MICROSCOPY','SPECTROSCOPY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,IEEE Geoscience and Remote Sensing Magazine,952,9.659,0.003270,2.696
2,MASS SPECTROMETRY REVIEWS,"3,909",9.068,0.003970,2.200
3,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,"10,680",9.052,0.009540,1.286
4,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"2,497",8.848,0.003270,2.814
5,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,"5,682",8.738,0.008000,2.198
6,Annual Review of Analytical Chemistry,"2,184",8.721,0.003750,2.632
7,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"14,653",8.519,0.014760,1.803
8,Annual Review of Food Science and Technology,"1,887",8.511,0.003160,2.216
9,REMOTE SENSING OF ENVIRONMENT,"54,482",8.218,0.048610,1.903
10,IEEE TRANSACTIONS ON MEDICAL IMAGING,"19,545",7.816,0.024980,1.809
11,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"61,342",7.503,0.100630,2.036
12,IEEE Transactions on Industrial Informatics,"13,187",7.377,0.028790,1.886
13,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"1,830",7.242,0.003170,2.207
14,Additive Manufacturing,"2,445",7.173,0.005200,Not Available
15,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"11,576",6.942,0.018240,1.606
16,COMPOSITES PART B-ENGINEERING,"30,167",6.864,0.045750,1.031
17,Virtual and Physical Prototyping,993,6.825,0.001870,Not Available
18,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"12,591",6.704,0.015020,1.458
19,SENSORS AND ACTUATORS B-CHEMICAL,"82,189",6.393,0.088970,0.824
20,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"23,757",6.282,0.022260,1.086
21,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"14,467",6.039,0.008900,1.390
22,FOOD HYDROCOLLOIDS,"23,287",5.839,0.025340,0.985
23,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"43,741",5.630,0.046970,1.314
24,Microsystems & Nanoengineering,683,5.616,0.002160,1.544
25,Global Food Security-Agriculture Policy Economics and Environment,"1,219",5.456,0.003920,1.845
26,FOOD CHEMISTRY,"104,574",5.399,0.103860,0.955
27,Photoacoustics,512,5.250,0.001330,Not Available
27,TECHNOVATION,"5,957",5.250,0.002910,1.019
29,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"22,383",4.998,0.020170,0.933
30,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"10,578",4.943,0.018620,1.143
31,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,"2,856",4.939,0.003190,1.025
32,INTEGRATED COMPUTER-AIDED ENGINEERING,691,4.904,0.001080,0.622
33,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"29,875",4.821,0.038350,1.635
34,Food and Energy Security,413,4.781,0.001110,1.192
35,MOLECULAR NUTRITION & FOOD RESEARCH,"12,276",4.653,0.015850,1.021
36,Engineering,906,4.568,0.002580,0.996
37,International Journal of Precision Engineering and Manufacturing-Green Technology,846,4.561,0.001630,0.663
38,IEEE Transactions on Computational Imaging,692,4.546,0.003200,Not Available
39,Antioxidants,882,4.520,0.001690,Not Available
40,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,"4,071",4.392,0.004640,0.813
41,ISA TRANSACTIONS,"6,115",4.343,0.011170,0.834
42,FOOD CONTROL,"20,900",4.248,0.029850,0.781
43,Food Engineering Reviews,943,4.217,0.001360,1.005
44,ADVANCES IN ENGINEERING SOFTWARE,"4,872",4.194,0.006810,0.899
45,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,"33,606",4.178,0.021130,0.874
46,JOURNAL OF FOOD AND DRUG ANALYSIS,"3,071",4.176,0.004570,0.754
47,COMBUSTION AND FLAME,"23,281",4.120,0.019850,0.922
48,FOOD MICROBIOLOGY,"10,786",4.089,0.012130,0.965
49,Innovative Food Science & Emerging Technologies,"7,847",4.085,0.009650,0.827
50,RELIABILITY ENGINEERING & SYSTEM SAFETY,"12,968",4.039,0.015330,0.959
51,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,"26,840",4.006,0.019630,0.892
52,FOOD REVIEWS INTERNATIONAL,"1,776",3.933,0.001030,0.756
53,POSTHARVEST BIOLOGY AND TECHNOLOGY,"11,753",3.927,0.009870,0.722
54,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"8,696",3.925,0.012120,1.022
55,Toxins,"7,709",3.895,0.015920,0.842
56,Current Opinion in Food Science,"1,162",3.828,0.002860,0.814
57,CIRP ANNALS-MANUFACTURING TECHNOLOGY,"11,324",3.826,0.007590,0.763
58,FOOD POLICY,"6,102",3.788,0.009030,1.258
59,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"6,596",3.781,0.005660,1.240
60,FOOD AND CHEMICAL TOXICOLOGY,"26,870",3.775,0.022540,0.755
61,ADVANCED ENGINEERING INFORMATICS,"2,525",3.772,0.002730,0.694
62,Structural Control & Health Monitoring,"3,353",3.740,0.005220,0.782
63,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"3,736",3.727,0.002640,0.449
64,LWT-FOOD SCIENCE AND TECHNOLOGY,"25,642",3.714,0.032240,0.729
65,Alexandria Engineering Journal,"3,132",3.696,0.004330,Not Available
66,FOOD QUALITY AND PREFERENCE,"7,933",3.684,0.008990,0.827
67,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"8,584",3.653,0.017220,0.853
68,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,"9,448",3.646,0.010000,0.691
69,JOURNAL OF MANUFACTURING SYSTEMS,"2,851",3.642,0.004030,0.690
70,Food Packaging and Shelf Life,769,3.630,0.001370,Not Available
71,JOURNAL OF FOOD ENGINEERING,"27,021",3.625,0.018300,0.727
72,Smart Structures and Systems,"2,156",3.622,0.003300,0.432
73,SAFETY SCIENCE,"9,895",3.619,0.011840,0.758
74,FOOD RESEARCH INTERNATIONAL,"26,072",3.579,0.031630,0.870
75,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"109,151",3.571,0.066550,0.764
76,Smart Materials and Structures,"19,870",3.543,0.025140,0.785
77,JOURNAL OF INTELLIGENT MANUFACTURING,"3,783",3.535,0.003740,0.547
78,IEEE Geoscience and Remote Sensing Letters,"12,217",3.534,0.023700,0.831
79,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"6,789",3.526,0.009660,0.705
79,IET Control Theory and Applications,"7,815",3.526,0.016920,0.905
81,COMPUTERS & INDUSTRIAL ENGINEERING,"11,625",3.518,0.014290,0.657
82,MEAT SCIENCE,"20,444",3.483,0.014400,0.739
83,Journal of Manufacturing Processes,"3,279",3.462,0.005580,0.637
84,METROLOGIA,"4,071",3.447,0.004510,0.662
85,NMR IN BIOMEDICINE,"7,511",3.414,0.014790,1.277
86,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"9,671",3.392,0.024920,0.886
87,MATERIALS AND MANUFACTURING PROCESSES,"5,749",3.350,0.005230,0.362
88,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,"23,879",3.347,0.029970,0.942
89,PRODUCTION PLANNING & CONTROL,"3,270",3.340,0.002400,0.417
90,FOOD AND BIOPRODUCTS PROCESSING,"3,846",3.324,0.004930,0.645
91,JOURNAL OF MANAGEMENT IN ENGINEERING,"2,745",3.269,0.002480,0.452
92,3D Printing and Additive Manufacturing,505,3.259,0.001280,0.867
92,International Journal for Uncertainty Quantification,474,3.259,0.001400,0.767
94,JOURNAL OF ENGINEERING EDUCATION,"2,794",3.244,0.001290,0.890
95,Food & Function,"8,392",3.241,0.016730,0.683
96,Food Bioscience,798,3.220,0.001590,Not Available
97,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,"9,644",3.202,0.012800,0.816
98,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,"17,976",3.199,0.015850,0.540
99,Journal of Functional Foods,"9,844",3.197,0.019560,0.685
100,Journal of Astronomical Telescopes Instruments and Systems,690,3.143,0.001620,0.857
101,Bioinspiration & Biomimetics,"2,648",3.130,0.005740,0.943
102,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,"7,905",3.101,0.006270,0.601
103,Ain Shams Engineering Journal,"1,906",3.091,0.002510,Not Available
104,JOURNAL OF DAIRY SCIENCE,"48,844",3.082,0.031720,0.568
105,IEEE SENSORS JOURNAL,"18,838",3.076,0.029340,0.558
106,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,"13,459",3.067,0.014090,0.619
107,Food and Bioprocess Technology,"7,206",3.032,0.011500,0.682
108,SENSORS,"46,222",3.031,0.061370,0.517
109,CMC-Computers Materials & Continua,611,3.024,0.000400,0.136
110,Foods,"1,095",3.011,0.002420,Not Available
111,COMPUTERS & OPERATIONS RESEARCH,"12,444",3.002,0.014220,0.902
112,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,"7,374",2.994,0.006000,0.665
113,JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,"11,597",2.955,0.014750,0.670
114,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,"28,662",2.931,0.027780,0.387
115,VIRTUAL REALITY,504,2.906,0.000370,0.290
116,APPLIED SPECTROSCOPY REVIEWS,"1,872",2.888,0.001910,0.890
117,IIE TRANSACTIONS,"4,173",2.884,0.004160,0.899
118,APPLIED MATHEMATICAL MODELLING,"16,888",2.841,0.027930,0.687
119,JOURNAL OF RAMAN SPECTROSCOPY,"10,064",2.809,0.006900,0.502
120,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,"4,135",2.792,0.004450,0.528
121,MEASUREMENT,"11,432",2.791,0.018640,0.483
122,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,266",2.786,0.008160,0.652
123,DESIGN STUDIES,"2,590",2.780,0.001000,0.488
124,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,"19,525",2.746,0.015080,1.092
125,SENSORS AND ACTUATORS A-PHYSICAL,"18,804",2.739,0.017520,0.547
126,INTERNATIONAL DAIRY JOURNAL,"8,541",2.735,0.005590,0.557
127,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,"8,249",2.734,0.004630,0.446
128,JOURNAL OF MAGNETIC RESONANCE,"11,633",2.689,0.011010,0.781
129,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,"4,228",2.685,0.005320,0.585
130,MICROSCOPY AND MICROANALYSIS,"3,877",2.673,0.008080,0.701
131,HUMAN FACTORS,"5,916",2.649,0.004570,0.784
132,ULTRAMICROSCOPY,"8,454",2.644,0.012280,1.007
133,Journal of Manufacturing Technology Management,"1,854",2.642,0.000900,Not Available
134,HISTOCHEMISTRY AND CELL BIOLOGY,"4,308",2.640,0.005030,0.687
135,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,"6,829",2.621,0.005140,0.466
136,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,"5,623",2.616,0.005450,0.521
137,APPLIED ERGONOMICS,"6,400",2.610,0.007090,0.560
138,PLANT FOODS FOR HUMAN NUTRITION,"3,134",2.598,0.002180,0.525
139,Journal of Real-Time Image Processing,"1,029",2.588,0.001740,0.443
140,Food & Nutrition Research,"1,388",2.553,0.002890,0.638
141,JOURNAL OF ENGINEERING TECHNOLOGY,193,2.533,0.000190,0.368
142,Flexible Services and Manufacturing Journal,542,2.519,0.001310,0.794
143,SIAM Journal on Imaging Sciences,"3,806",2.514,0.011200,1.928
144,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,"30,520",2.496,0.033780,0.387
145,INTERNATIONAL JOURNAL OF REMOTE SENSING,"22,212",2.493,0.013790,0.531
146,Journal of Bionic Engineering,"1,391",2.463,0.001770,0.429
147,JOURNAL OF CEREAL SCIENCE,"8,219",2.452,0.006250,0.584
147,JOURNAL OF SYNCHROTRON RADIATION,"6,327",2.452,0.011070,0.996
149,Surface Topography-Metrology and Properties,384,2.439,0.001300,Not Available
150,Microfluidics and Nanofluidics,"5,196",2.437,0.007400,0.577
151,Micromachines,"2,708",2.426,0.004850,0.435
152,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,"22,298",2.422,0.018750,0.554
153,Food Additives & Contaminants Part B-Surveillance,803,2.419,0.001150,0.366
154,Annual Reports on NMR Spectroscopy,440,2.414,0.000560,0.565
155,Food Analytical Methods,"4,426",2.413,0.008540,0.418
156,Food Biophysics,"1,235",2.411,0.001550,0.514
157,BIOTECHNOLOGY PROGRESS,"8,426",2.406,0.005710,0.502
157,World Mycotoxin Journal,"1,076",2.406,0.001500,0.449
159,FOOD AND AGRICULTURAL IMMUNOLOGY,"1,053",2.398,0.001050,0.225
160,Analytical Methods,"13,640",2.378,0.027720,0.396
161,Geocarto International,"1,380",2.365,0.001600,0.368
162,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,"2,374",2.343,0.002180,0.593
163,CHEMICAL SENSES,"4,443",2.336,0.003880,0.863
164,CIRP Journal of Manufacturing Science and Technology,"1,142",2.333,0.001440,Not Available
165,JOURNAL OF BIOMOLECULAR NMR,"4,868",2.319,0.005910,0.994
166,INFRARED PHYSICS & TECHNOLOGY,"4,358",2.313,0.005060,0.340
167,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,"9,643",2.281,0.008250,0.390
168,SCIENCE AND ENGINEERING ETHICS,"1,719",2.275,0.003450,0.598
169,JOURNAL OF MASS SPECTROMETRY,"5,129",2.267,0.004890,0.555
170,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,"4,273",2.243,0.006510,0.551
171,International Journal of Critical Infrastructure Protection,456,2.225,0.000580,0.455
171,JOURNAL OF MOLECULAR SPECTROSCOPY,"5,876",2.225,0.004310,0.541
173,ERGONOMICS,"7,974",2.181,0.005930,0.596
174,Science China-Technological Sciences,"3,722",2.180,0.006390,0.378
175,PRODUCTION AND OPERATIONS MANAGEMENT,"5,552",2.171,0.011070,1.344
176,Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,"7,732",2.170,0.006380,0.468
177,Heritage Science,461,2.165,0.001490,Not Available
178,Engineering Applications of Computational Fluid Mechanics,807,2.163,0.001120,0.401
179,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,"1,278",2.159,0.000800,0.482
180,Food Security,"2,014",2.153,0.003800,0.773
181,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,"11,286",2.141,0.009100,0.448
182,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,"1,831",2.090,0.002050,0.358
183,JOURNAL OF FOOD SCIENCE,"25,840",2.081,0.010950,0.487
184,INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,"3,756",2.075,0.002610,0.506
185,JOURNAL OF SENSORY STUDIES,"1,547",2.072,0.001190,0.421
186,APPLIED SPECTROSCOPY,"8,923",2.064,0.005080,0.412
187,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,"10,838",2.061,0.009630,0.624
188,ASSEMBLY AUTOMATION,930,2.056,0.000830,0.312
188,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,"8,254",2.056,0.006070,0.434
190,Advances in Production Engineering & Management,283,2.047,0.000360,0.229
191,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,"11,867",2.045,0.009690,0.521
192,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,"8,324",2.032,0.007120,0.459
193,Journal of Sensors,"2,409",2.024,0.004740,0.390
193,Remote Sensing Letters,"1,636",2.024,0.003970,0.505
195,SOLID STATE NUCLEAR MAGNETIC RESONANCE,"1,341",2.022,0.001680,0.592
196,JOURNAL OF MEDICINAL FOOD,"4,797",2.020,0.004400,0.412
197,IET Image Processing,"1,636",2.004,0.002330,0.326
198,Foodborne Pathogens and Disease,"3,884",2.000,0.005210,0.620
198,RESEARCH IN ENGINEERING DESIGN,"1,030",2.000,0.000440,0.315
200,FLOW MEASUREMENT AND INSTRUMENTATION,"2,156",1.977,0.002880,0.386
201,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,"1,815",1.956,0.002030,0.245
202,JOURNAL OF CULTURAL HERITAGE,"3,219",1.955,0.002950,0.371
203,JOURNAL OF ELASTICITY,"2,340",1.906,0.002480,0.784
204,Signal Image and Video Processing,"2,009",1.894,0.003430,0.303
205,PACKAGING TECHNOLOGY AND SCIENCE,"1,578",1.881,0.001110,0.285
206,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,"2,850",1.867,0.001640,0.491
207,MEASUREMENT SCIENCE and TECHNOLOGY,"13,872",1.861,0.013200,0.453
207,VIBRATIONAL SPECTROSCOPY,"4,244",1.861,0.003000,0.381
209,IEEE Transactions on Components Packaging and Manufacturing Technology,"5,550",1.860,0.006560,0.454
210,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,"5,712",1.852,0.005660,0.443
211,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,"8,165",1.850,0.013590,0.406
211,Photogrammetrie Fernerkundung Geoinformation,284,1.850,0.000330,0.209
213,JOURNAL OF CHEMOMETRICS,"3,900",1.847,0.002200,0.497
214,International Journal of Simulation Modelling,472,1.825,0.000820,0.260
215,OPTIMIZATION AND ENGINEERING,839,1.824,0.001410,0.608
216,JOURNAL OF MICROSCOPY,"6,891",1.813,0.004890,0.633
217,ENGINEERING OPTIMIZATION,"2,511",1.809,0.003000,0.455
218,Eksploatacja i Niezawodnosc-Maintenance and Reliability,895,1.806,0.000920,0.174
219,STARCH-STARKE,"4,386",1.795,0.003320,0.395
220,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,"5,514",1.783,0.001710,0.441
221,International Journal of Precision Engineering and Manufacturing,"3,337",1.779,0.004910,0.267
222,Image Analysis & Stereology,348,1.778,0.000310,0.260
223,Microscopy,470,1.776,0.001820,0.489
224,JOURNAL OF QUALITY TECHNOLOGY,"2,510",1.755,0.001650,1.052
225,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,"4,536",1.752,0.003810,0.294
226,International Journal of Material Forming,"1,243",1.750,0.001300,0.386
227,Food Science & Nutrition,"1,068",1.747,0.002380,Not Available
228,MAGNETIC RESONANCE IN CHEMISTRY,"3,826",1.731,0.002580,0.320
229,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,"11,800",1.720,0.004130,0.354
230,British Food Journal,"3,864",1.717,0.002900,0.277
230,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,897,1.717,0.000890,0.313
232,MACHINING SCIENCE AND TECHNOLOGY,"1,014",1.716,0.000780,0.389
233,DISPLAYS,"1,032",1.714,0.001130,0.365
234,SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE,710,1.692,0.000650,0.334
235,JOURNAL OF FOOD SAFETY,"1,290",1.665,0.001280,0.289
236,Journal of X-Ray Science and Technology,690,1.662,0.000810,0.196
237,INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,"6,903",1.658,0.006460,0.477
238,Agribusiness,981,1.635,0.000740,0.330
239,Quality Engineering,821,1.626,0.001050,0.382
240,CyTA-Journal of Food,829,1.605,0.001540,0.315
241,Advances in Manufacturing,365,1.603,0.000750,0.301
242,JOURNAL OF SCHEDULING,"1,233",1.598,0.001590,0.528
243,PHOTOGRAMMETRIC RECORD,871,1.591,0.000590,0.424
244,REVIEW OF SCIENTIFIC INSTRUMENTS,"31,653",1.587,0.036520,0.470
245,International Journal of Design,588,1.576,0.000420,0.305
246,Food Structure-Netherlands,206,1.574,0.000540,Not Available
247,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,"3,403",1.571,0.002110,0.360
248,JOURNAL OF TEXTURE STUDIES,"1,944",1.565,0.001020,0.308
249,COMBUSTION SCIENCE AND TECHNOLOGY,"5,104",1.564,0.003260,0.432
250,Engineering Construction and Architectural Management,"1,415",1.561,0.000490,Not Available
251,Applied Biological Chemistry,330,1.559,0.000640,0.263
251,JOURNAL OF FOOD PROTECTION,"13,047",1.559,0.007790,0.413
253,EURASIP Journal on Image and Video Processing,990,1.534,0.001830,0.472
254,MICRON,"3,898",1.530,0.003880,0.457
255,FOOD AND NUTRITION BULLETIN,"2,596",1.523,0.002390,0.598
256,INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,"1,617",1.522,0.001350,0.289
256,Journal of Wine Economics,306,1.522,0.000400,Not Available
258,FOOD TECHNOLOGY AND BIOTECHNOLOGY,"2,039",1.517,0.001290,0.327
259,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,889,1.514,0.000680,0.328
260,SOLDERING & SURFACE MOUNT TECHNOLOGY,346,1.500,0.000210,0.130
261,OENO One,76,1.479,0.000260,0.422
262,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,"4,976",1.466,0.004080,0.359
263,INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,943,1.464,0.001950,0.377
264,JOURNAL OF FOOD PROCESS ENGINEERING,"1,777",1.448,0.001940,0.249
265,JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,467,1.444,0.000300,0.253
266,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,908,1.435,0.000490,0.090
