"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ETHICS','HISTORY & PHILOSOPHY OF SCIENCE','HISTORY OF SOCIAL SCIENCES' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,AMERICAN JOURNAL OF BIOETHICS,"2,285",5.786,0.004240,2.402
2,JOURNAL OF BUSINESS ETHICS,"28,253",3.796,0.017780,0.818
3,AGRICULTURE AND HUMAN VALUES,"2,717",3.128,0.003540,0.976
3,AGRICULTURE AND HUMAN VALUES,"2,717",3.128,0.003540,0.976
5,Business Ethics-A European Review,"1,540",2.919,0.000960,0.470
6,BUSINESS ETHICS QUARTERLY,"2,266",2.788,0.001370,1.197
7,PUBLIC UNDERSTANDING OF SCIENCE,"2,704",2.754,0.003630,0.832
8,BMC Medical Ethics,"1,317",2.507,0.004170,0.812
9,Journal of Law and the Biosciences,253,2.431,0.001140,0.867
10,SOCIAL STUDIES OF SCIENCE,"3,508",2.427,0.003150,1.161
10,SOCIAL STUDIES OF SCIENCE,"3,508",2.427,0.003150,1.161
12,Ethics and Information Technology,838,2.340,0.000760,0.496
13,SCIENCE AND ENGINEERING ETHICS,"1,719",2.275,0.003450,0.598
13,SCIENCE AND ENGINEERING ETHICS,"1,719",2.275,0.003450,0.598
15,JOURNAL OF MEDICAL ETHICS,"4,205",2.195,0.006850,0.676
16,ETHICS,"2,895",2.019,0.001440,0.698
17,NURSING ETHICS,"2,162",1.957,0.002170,0.468
18,MINERVA,"1,081",1.952,0.000890,0.677
19,ENVIRONMENTAL VALUES,987,1.933,0.000830,0.418
20,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,"1,600",1.768,0.001440,0.599
20,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,"1,600",1.768,0.001440,0.599
22,HASTINGS CENTER REPORT,"1,531",1.728,0.002820,0.757
23,JOURNAL OF ECONOMIC HISTORY,"2,436",1.683,0.003410,1.587
24,BIOETHICS,"1,567",1.665,0.002710,0.579
25,BIOLOGY & PHILOSOPHY,"1,093",1.593,0.001470,0.442
25,BIOLOGY & PHILOSOPHY,"1,093",1.593,0.001470,0.442
