"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ACOUSTICS','ASTRONOMY & ASTROPHYSICS','OPTICS','PHYSICS, APPLIED','PHYSICS, ATOMIC, MOLECULAR & CHEMICAL','PHYSICS, CONDENSED MATTER','PHYSICS, FLUIDS & PLASMAS','PHYSICS, MULTIDISCIPLINARY','PHYSICS, NUCLEAR','PHYSICS, PARTICLES & FIELDS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,NATURE MATERIALS,"97,792",38.887,0.177350,16.602
2,REVIEWS OF MODERN PHYSICS,"50,151",38.296,0.051770,19.803
3,Annual Review of Astronomy and Astrophysics,"11,821",33.069,0.019290,20.581
4,Nature Photonics,"43,932",31.583,0.116040,14.359
5,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"28,380",28.295,0.030540,8.664
6,Living Reviews in Relativity,"2,819",27.778,0.005210,14.106
7,ADVANCES IN PHYSICS,"5,903",26.100,0.004480,13.050
8,ADVANCED MATERIALS,"229,186",25.809,0.409360,5.816
9,Advanced Energy Materials,"50,724",24.884,0.120600,4.916
10,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,206",22.250,0.006250,7.898
11,Nature Physics,"36,156",20.113,0.115280,11.338
12,Annual Review of Fluid Mechanics,"12,706",17.214,0.011270,7.690
13,REPORTS ON PROGRESS IN PHYSICS,"18,176",16.620,0.031770,7.162
14,ADVANCED FUNCTIONAL MATERIALS,"95,431",15.621,0.175960,3.398
15,Annual Review of Condensed Matter Physics,"2,763",15.588,0.011190,10.464
16,Nano Energy,"37,106",15.548,0.087250,3.046
17,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,788",15.143,0.003730,6.285
18,SURFACE SCIENCE REPORTS,"4,655",14.824,0.002470,3.986
19,Living Reviews in Solar Physics,"1,071",14.625,0.002610,8.261
20,Light-Science & Applications,"5,894",14.000,0.019170,4.257
21,Advances in Optics and Photonics,"2,494",13.963,0.005220,6.493
22,Applied Physics Reviews,"2,404",12.750,0.008230,4.587
23,NANO LETTERS,"163,570",12.279,0.300590,4.018
24,Physical Review X,"13,462",12.211,0.074260,6.256
25,Small,"49,968",10.856,0.091440,2.200
26,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,427",10.764,0.006410,3.887
27,Nature Astronomy,"1,493",10.500,0.006480,4.912
28,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,"1,789",10.172,0.002790,2.752
29,Optica,"7,232",9.263,0.036170,3.702
30,Annual Review of Earth and Planetary Sciences,"8,108",9.235,0.009380,5.509
