"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'BEHAVIORAL SCIENCES','ERGONOMICS','PSYCHOLOGY','PSYCHOLOGY, APPLIED','PSYCHOLOGY, DEVELOPMENTAL','PSYCHOLOGY, EDUCATIONAL','PSYCHOLOGY, EXPERIMENTAL','PSYCHOLOGY, MATHEMATICAL','PSYCHOLOGY, MULTIDISCIPLINARY','PSYCHOLOGY, SOCIAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Psychological Science in the Public Interest,"1,437",22.250,0.003050,12.843
2,Annual Review of Psychology,"20,230",19.755,0.022780,12.975
2,Annual Review of Psychology,"20,230",19.755,0.022780,12.975
4,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.010250,8.922
5,PSYCHOLOGICAL BULLETIN,"50,710",16.405,0.027090,9.725
5,PSYCHOLOGICAL BULLETIN,"50,710",16.405,0.027090,9.725
7,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040,9.161
7,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040,9.161
9,Annual Review of Clinical Psychology,"5,555",14.098,0.011110,7.449
10,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,892",13.744,0.005790,3.404
11,Nature Human Behaviour,"1,230",10.575,0.006540,5.700
12,PSYCHOLOGICAL INQUIRY,"4,463",10.273,0.003270,8.274
13,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"6,314",9.903,0.006310,5.370
14,JOURNAL OF MANAGEMENT,"22,640",9.056,0.022860,4.796
15,Social Issues and Policy Review,517,8.733,0.001340,2.833
16,Perspectives on Psychological Science,"9,318",8.190,0.022830,5.146
17,PSYCHOLOGICAL METHODS,"12,744",8.188,0.011600,5.138
18,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"26,724",8.002,0.051570,3.132
19,Annual Review of Organizational Psychology and Organizational Behavior,984,7.179,0.005340,4.815
20,Advances in Experimental Social Psychology,"5,578",6.933,0.002910,4.898
21,PERSONNEL PSYCHOLOGY,"7,753",6.930,0.005570,3.610
22,International Review of Sport and Exercise Psychology,867,6.905,0.001230,1.699
23,EDUCATIONAL PSYCHOLOGY REVIEW,"4,533",6.866,0.004700,2.457
24,ORGANIZATIONAL RESEARCH METHODS,"6,139",6.551,0.006910,4.325
25,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"19,942",6.391,0.019350,3.035
26,PSYCHOLOGICAL REVIEW,"28,522",6.266,0.009610,4.606
26,PSYCHOLOGICAL REVIEW,"28,522",6.266,0.009610,4.606
28,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,072",6.129,0.023090,2.915
28,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,072",6.129,0.023090,2.915
30,EDUCATIONAL PSYCHOLOGIST,"5,468",5.956,0.003880,3.033
31,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"72,132",5.919,0.027640,3.806
32,PSYCHOLOGICAL MEDICINE,"25,176",5.641,0.038060,2.194
33,LEADERSHIP QUARTERLY,"10,030",5.631,0.007940,1.993
34,Industrial and Organizational Psychology-Perspectives on Science and Practice,"1,166",5.250,0.002180,0.823
35,JOURNAL OF EDUCATIONAL PSYCHOLOGY,"17,483",5.178,0.011790,2.375
36,Journal of Occupational Health Psychology,"4,093",5.128,0.005410,2.070
37,AMERICAN PSYCHOLOGIST,"26,617",5.094,0.010980,2.830
38,JOURNAL OF APPLIED PSYCHOLOGY,"38,675",5.067,0.021580,3.420
39,CHILD DEVELOPMENT,"31,310",5.024,0.023660,2.422
40,JOURNAL OF ORGANIZATIONAL BEHAVIOR,"12,028",5.000,0.010240,2.211
41,DEPRESSION AND ANXIETY,"8,537",4.935,0.014480,1.955
42,Developmental Cognitive Neuroscience,"2,470",4.920,0.009270,2.160
43,PSYCHOLOGICAL SCIENCE,"31,343",4.902,0.051220,3.660
44,DEVELOPMENTAL REVIEW,"3,171",4.846,0.003750,3.231
45,Emotion Review,"2,141",4.547,0.006040,2.100
46,European Review of Social Psychology,795,4.500,0.001480,2.675
47,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,"11,504",4.481,0.017760,3.606
48,Advances in the Study of Behavior,"1,208",4.471,0.000640,1.251
49,Child Development Perspectives,"2,662",4.427,0.006770,2.290
50,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,"5,622",4.356,0.008130,1.716
51,COMPUTERS IN HUMAN BEHAVIOR,"24,749",4.306,0.040130,0.963
52,CORTEX,"10,302",4.275,0.024580,1.703
53,Organizational Psychology Review,472,4.111,0.001670,1.757
54,DEVELOPMENTAL SCIENCE,"7,681",4.096,0.011690,2.013
55,ENVIRONMENT AND BEHAVIOR,"6,095",4.093,0.003980,1.317
56,Behavior Research Methods,"16,314",4.063,0.016380,2.055
57,JOURNAL OF ADOLESCENT HEALTH,"15,535",4.021,0.029230,1.914
58,Research in Organizational Behavior,"3,851",3.955,0.001660,2.572
59,HORMONES AND BEHAVIOR,"10,874",3.949,0.012620,1.193
60,PSYCHOSOMATIC MEDICINE,"12,747",3.937,0.009620,1.418
60,PSYCHOSOMATIC MEDICINE,"12,747",3.937,0.009620,1.418
62,LEARNING AND INSTRUCTION,"5,202",3.917,0.007320,1.844
63,AUTISM,"4,106",3.898,0.008880,1.613
64,JOURNAL OF MEMORY AND LANGUAGE,"9,683",3.858,0.011460,2.539
64,JOURNAL OF MEMORY AND LANGUAGE,"9,683",3.858,0.011460,2.539
66,JOURNAL OF COUNSELING PSYCHOLOGY,"8,144",3.850,0.006230,1.508
67,COGNITIVE PSYCHOLOGY,"7,958",3.746,0.004750,2.294
67,COGNITIVE PSYCHOLOGY,"7,958",3.746,0.004750,2.294
69,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,"5,186",3.740,0.009270,1.258
70,PSYCHONOMIC BULLETIN & REVIEW,"11,926",3.704,0.020880,1.695
71,Autism Research,"2,941",3.697,0.008050,1.309
71,Autism Research,"2,941",3.697,0.008050,1.309
73,European Journal of Psychology Applied to Legal Context,202,3.682,0.000420,0.611
74,Social Cognitive and Affective Neuroscience,"6,966",3.662,0.020900,1.626
74,Social Cognitive and Affective Neuroscience,"6,966",3.662,0.020900,1.626
76,Journal of Attention Disorders,"3,436",3.656,0.006340,1.041
77,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"9,458",3.626,0.007760,1.361
78,Social Psychological and Personality Science,"2,785",3.605,0.012500,1.854
79,DEVELOPMENT AND PSYCHOPATHOLOGY,"10,802",3.593,0.012620,1.732
80,ANNALS OF BEHAVIORAL MEDICINE,"6,815",3.575,0.009700,1.722
81,JOURNAL OF THE LEARNING SCIENCES,"2,376",3.545,0.001610,1.408
82,COGNITION,"17,585",3.537,0.025570,1.914
83,HEALTH PSYCHOLOGY,"11,641",3.530,0.016190,1.633
84,INTERNATIONAL JOURNAL OF EATING DISORDERS,"8,728",3.523,0.008900,1.008
85,APPETITE,"17,300",3.501,0.024990,1.003
86,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,"10,926",3.498,0.021920,2.763
87,PSYCHO-ONCOLOGY,"11,194",3.430,0.020160,1.273
87,PSYCHO-ONCOLOGY,"11,194",3.430,0.020160,1.273
89,Current Opinion in Behavioral Sciences,"1,763",3.422,0.009030,Not Available
89,Current Opinion in Behavioral Sciences,"1,763",3.422,0.009030,Not Available
91,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,"8,712",3.418,0.009950,1.401
91,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,"8,712",3.418,0.009950,1.401
93,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,"9,353",3.406,0.012300,1.569
94,JOURNAL OF VOCATIONAL BEHAVIOR,"10,484",3.387,0.007070,1.270
95,PSYCHOPHYSIOLOGY,"14,275",3.378,0.012140,1.186
95,PSYCHOPHYSIOLOGY,"14,275",3.378,0.012140,1.186
97,DEVELOPMENTAL PSYCHOLOGY,"22,544",3.342,0.024040,1.883
98,EUROPEAN JOURNAL OF PERSONALITY,"3,164",3.329,0.005630,2.080
99,BRITISH JOURNAL OF PSYCHOLOGY,"4,577",3.308,0.003550,1.446
100,COGNITION AND INSTRUCTION,"2,002",3.300,0.001210,1.317
101,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"11,470",3.291,0.015640,1.878
