"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'AREA STUDIES','ENVIRONMENTAL STUDIES','GEOGRAPHY','TRANSPORTATION','URBAN STUDIES' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Nature Climate Change,"23,544",21.722,0.098100,9.945
2,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"17,370",10.427,0.030250,3.311
3,Analytic Methods in Accident Research,669,9.333,0.002420,Not Available
4,Annual Review of Environment and Resources,"4,214",8.617,0.004780,3.383
5,ORGANIZATION & ENVIRONMENT,"1,722",8.500,0.001700,1.321
6,Environmental Innovation and Societal Transitions,"1,884",7.514,0.003280,Not Available
7,Wiley Interdisciplinary Reviews-Climate Change,"3,352",7.057,0.008650,2.654
8,ECONOMIC GEOGRAPHY,"3,351",6.861,0.002520,2.225
9,Review of Environmental Economics and Policy,"1,136",6.649,0.003390,3.131
10,TRANSPORT REVIEWS,"2,901",6.648,0.003420,1.456
11,PROGRESS IN HUMAN GEOGRAPHY,"7,098",6.576,0.008080,2.500
12,Business Strategy and the Environment,"5,266",6.381,0.002200,0.685
13,TOURISM MANAGEMENT,"20,615",6.012,0.012610,1.028
14,Ecosystem Services,"4,552",5.572,0.008310,1.118
15,Energy Research & Social Science,"4,355",5.525,0.008680,Not Available
16,Corporate Social Responsibility and Environmental Management,"2,809",5.513,0.001220,0.579
17,LANDSCAPE AND URBAN PLANNING,"16,054",5.144,0.014880,1.282
18,ENERGY POLICY,"47,238",4.880,0.043920,1.014
19,CLIMATE POLICY,"2,217",4.797,0.003950,1.097
20,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,"11,541",4.574,0.013340,1.221
21,ECOLOGICAL ECONOMICS,"25,091",4.281,0.018440,1.114
22,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,"6,485",4.253,0.008460,0.980
23,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,"6,354",4.175,0.006370,1.700
24,ECOLOGY AND SOCIETY,"11,712",4.136,0.015060,1.178
25,ENVIRONMENT AND BEHAVIOR,"6,095",4.093,0.003980,1.317
26,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,"6,815",4.051,0.008650,0.815
27,Dialogues in Human Geography,605,3.875,0.001780,Not Available
27,PROGRESS IN PLANNING,941,3.875,0.000700,1.296
29,CITIES,"5,540",3.853,0.007510,0.769
30,HABITAT INTERNATIONAL,"5,591",3.846,0.007070,0.676
31,ENVIRONMENTAL POLITICS,"2,613",3.827,0.003490,1.003
32,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,"3,989",3.789,0.004740,1.543
33,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,"4,236",3.749,0.003220,0.674
34,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,"9,871",3.693,0.012230,0.957
35,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"9,458",3.626,0.007760,1.361
36,LAND USE POLICY,"12,353",3.573,0.018520,0.782
37,URBAN GEOGRAPHY,"2,575",3.567,0.004120,1.038
38,Journal of Transport Geography,"7,268",3.560,0.008910,0.945
39,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"5,816",3.545,0.005530,0.707
40,TRANSPORTATION,"3,698",3.457,0.003990,0.998
41,Global Environmental Politics,"1,501",3.397,0.002160,1.144
42,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"3,034",3.393,0.004060,0.822
43,JOURNAL OF ECONOMIC GEOGRAPHY,"4,230",3.359,0.005800,1.971
44,TRANSPORTATION SCIENCE,"5,487",3.310,0.005440,1.388
45,JOURNAL OF RURAL STUDIES,"5,550",3.301,0.007000,0.852
46,ANTIPODE,"4,648",3.289,0.006760,1.411
47,URBAN STUDIES,"11,903",3.272,0.013440,1.129
48,Travel Behaviour and Society,340,3.218,0.000860,0.771
49,Transport Policy,"5,475",3.190,0.005940,0.704
50,RESOURCES POLICY,"3,202",3.185,0.004030,0.640
51,ENVIRONMENT,"1,148",3.176,0.000860,0.854
52,Journal of Environment & Development,698,3.156,0.000800,0.722
53,Regional Environmental Change,"4,341",3.149,0.010200,0.963
54,Anthropocene Review,493,3.111,0.002060,2.057
55,FOREST POLICY AND ECONOMICS,"4,387",3.099,0.004980,0.575
56,REGIONAL STUDIES,"7,727",3.074,0.008720,1.067
57,APPLIED GEOGRAPHY,"7,023",3.068,0.010540,0.859
58,ACCIDENT ANALYSIS AND PREVENTION,"17,335",3.058,0.019280,0.807
58,POLITICAL GEOGRAPHY,"3,591",3.058,0.004630,1.321
60,URBAN FORESTRY & URBAN GREENING,"4,257",3.043,0.005500,0.623
61,Annals of the American Association of Geographers,678,3.037,0.002410,0.967
62,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,"1,812",3.018,0.001960,0.999
63,ENVIRONMENT AND URBANIZATION,"2,288",3.015,0.002180,0.972
64,Annual Review of Resource Economics,745,2.978,0.002660,1.739
65,GEOFORUM,"7,919",2.926,0.013840,1.057
66,MARINE POLICY,"8,475",2.865,0.014020,0.718
67,SOCIOLOGIA RURALIS,"2,020",2.857,0.001200,0.617
68,Environment and Planning B-Urban Analytics and City Science,"3,679",2.825,0.002170,0.606
69,Cambridge Journal of Regions Economy and Society,"1,492",2.823,0.002520,1.292
70,Marine Resource Economics,"1,031",2.800,0.000840,0.580
71,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,"5,519",2.768,0.007800,1.341
72,Geopolitics,"1,285",2.756,0.002290,0.847
73,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,"3,885",2.730,0.004830,1.143
74,Territory Politics Governance,337,2.729,0.001220,0.959
75,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,"3,680",2.719,0.001570,0.918
76,JOURNAL OF PLANNING EDUCATION AND RESEARCH,"1,939",2.667,0.001310,0.666
77,CHINA JOURNAL,667,2.652,0.001210,1.295
78,Sustainability,"20,022",2.592,0.023380,0.335
79,International Journal of Sustainable Transportation,"1,020",2.586,0.001760,0.541
80,Journal of Transport & Health,962,2.583,0.002270,0.579
81,Journal of Intelligent Transportation Systems,825,2.568,0.001090,0.478
82,Climate and Development,928,2.471,0.001850,0.722
83,Environmental Communication-A Journal of Nature and Culture,884,2.469,0.001320,0.548
84,Mobilities,"1,420",2.462,0.002120,0.772
85,Environment and Planning A-Economy and Space,"9,985",2.459,0.010380,1.038
86,ENERGY JOURNAL,"2,880",2.456,0.002950,0.849
87,JOURNAL OF URBAN ECONOMICS,"5,451",2.447,0.007220,2.253
88,Utilities Policy,"1,380",2.417,0.001970,0.493
89,JOURNAL OF AIR TRANSPORT MANAGEMENT,"3,206",2.412,0.002650,0.368
90,JOURNAL OF SAFETY RESEARCH,"3,508",2.401,0.004110,0.941
91,Environment and Planning C-Politics and Space,"2,675",2.382,0.003600,0.699
92,EUROPEAN URBAN AND REGIONAL STUDIES,"1,425",2.375,0.001830,0.840
93,RESOURCE AND ENERGY ECONOMICS,"2,109",2.367,0.002280,0.826
94,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,"4,157",2.360,0.006180,0.722
95,GEOGRAPHICAL JOURNAL,"2,260",2.357,0.002120,0.945
96,Planning Theory & Practice,"1,121",2.321,0.001020,Not Available
97,JOURNAL OF ENVIRONMENTAL LAW,475,2.313,0.000500,0.333
98,International Environmental Agreements-Politics Law and Economics,757,2.312,0.001300,0.614
99,Applied Spatial Analysis and Policy,320,2.286,0.000610,0.416
100,Population Space and Place,"2,094",2.279,0.003520,0.912
101,Cartography and Geographic Information Science,"1,148",2.271,0.001670,0.742
102,Environmental Education Research,"2,851",2.255,0.001570,0.401
103,JOURNAL OF URBAN TECHNOLOGY,931,2.250,0.000880,0.581
104,CHINA QUARTERLY,"2,974",2.236,0.003910,1.354
105,Transportmetrica B-Transport Dynamics,220,2.229,0.000650,0.690
106,POST-SOVIET AFFAIRS,622,2.200,0.001770,1.190
107,AFRICAN AFFAIRS,"1,630",2.188,0.002450,1.307
107,Transactions in GIS,"1,596",2.188,0.001870,0.501
109,ENVIRONMENTAL & RESOURCE ECONOMICS,"4,728",2.154,0.005020,0.795
110,Journal of Transport and Land Use,501,2.143,0.001150,0.650
111,AREA,"2,460",2.133,0.002780,0.706
112,JOURNAL OF PLANNING LITERATURE,952,2.125,0.000600,0.991
112,Review of European Comparative & International Environmental Law,364,2.125,0.000570,Not Available
114,EUROPEAN PLANNING STUDIES,"3,870",2.101,0.003640,0.469
115,REGIONAL SCIENCE AND URBAN ECONOMICS,"3,180",2.092,0.005190,1.114
116,EURASIAN GEOGRAPHY AND ECONOMICS,830,2.088,0.001160,0.575
117,URBAN AFFAIRS REVIEW,"2,074",2.081,0.001870,0.850
118,Research in Transportation Business and Management,676,2.065,0.001300,Not Available
119,Extractive Industries and Society-An International Journal,919,2.064,0.002200,Not Available
120,Geography Compass,"2,179",2.053,0.003330,Not Available
121,SOCIAL & CULTURAL GEOGRAPHY,"1,985",2.043,0.002910,0.881
121,URBAN EDUCATION,"1,552",2.043,0.002020,0.815
121,Weather Climate and Society,913,2.043,0.001850,0.736
124,ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,"2,537",2.042,0.002600,1.603
125,JOURNAL OF ENVIRONMENTAL EDUCATION,"1,764",2.040,0.000540,0.441
126,Economics of Energy & Environmental Policy,227,2.034,0.000930,0.896
127,JOURNAL OF CONTEMPORARY ASIA,830,2.030,0.001070,0.510
128,PAPERS IN REGIONAL SCIENCE,"1,990",2.020,0.001970,0.600
