"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ANTHROPOLOGY','DEMOGRAPHY','ETHNIC STUDIES','FAMILY STUDIES','SOCIAL ISSUES','SOCIAL SCIENCES, INTERDISCIPLINARY','SOCIAL SCIENCES, MATHEMATICAL METHODS','SOCIAL WORK','SOCIOLOGY','WOMENS STUDIES' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Social Issues and Policy Review,517,8.733,0.001340,2.833
2,AMERICAN JOURNAL OF BIOETHICS,"2,285",5.786,0.004240,2.402
3,ANNALS OF TOURISM RESEARCH,"12,745",5.493,0.004860,1.059
4,Trauma Violence & Abuse,"2,404",5.457,0.004350,2.063
5,AMERICAN SOCIOLOGICAL REVIEW,"20,192",5.391,0.014140,4.578
6,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,"1,326",5.045,0.003310,2.370
7,Annual Review of Sociology,"11,536",4.915,0.008950,5.470
8,JOURNAL OF PEASANT STUDIES,"3,838",4.754,0.007260,2.148
9,AMERICAN JOURNAL OF SOCIOLOGY,"19,544",4.458,0.008370,3.624
10,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"15,561",4.426,0.009850,2.915
11,ECONOMETRICA,"35,295",4.281,0.049980,12.055
12,CULTURAL ANTHROPOLOGY,"2,595",4.154,0.004090,1.877
13,Information Communication & Society,"3,911",4.124,0.007900,1.409
14,CHILD MALTREATMENT,"2,463",4.047,0.002450,1.298
15,REVIEW OF ECONOMICS AND STATISTICS,"15,949",3.636,0.032020,5.945
16,Journal of Cancer Survivorship,"2,658",3.585,0.008370,1.660
17,Journal of Mixed Methods Research,"1,436",3.524,0.001300,0.976
18,FUTURE OF CHILDREN,"2,013",3.500,0.002230,2.530
19,EVOLUTIONARY ANTHROPOLOGY,"1,768",3.375,0.001960,1.634
20,HUMAN RELATIONS,"9,176",3.367,0.006700,1.451
21,Socio-Economic Review,"1,552",3.328,0.003430,1.736
22,PUBLIC OPINION QUARTERLY,"6,139",3.310,0.005130,1.751
23,PSYCHOLOGY OF WOMEN QUARTERLY,"3,770",3.264,0.003460,1.450
24,EPJ Data Science,520,3.262,0.001630,1.088
25,BRITISH JOURNAL OF SOCIOLOGY,"3,308",3.200,0.003500,1.510
26,SCIENCE TECHNOLOGY & HUMAN VALUES,"2,308",3.160,0.002720,1.092
27,JOURNAL OF HUMAN EVOLUTION,"9,268",3.155,0.010520,1.433
28,SOCIOLOGY OF EDUCATION,"2,885",3.146,0.003110,2.381
29,Qualitative Research,"3,531",3.141,0.002690,0.985
30,AGRICULTURE AND HUMAN VALUES,"2,717",3.128,0.003540,0.976
31,ARCHIVES OF SEXUAL BEHAVIOR,"7,322",3.116,0.011870,1.094
32,SOCIOLOGICAL METHODS & RESEARCH,"4,865",3.102,0.005050,2.879
33,JOURNAL OF INTERPERSONAL VIOLENCE,"7,171",3.064,0.009300,0.858
34,JOURNAL OF SEX RESEARCH,"4,520",3.059,0.006410,1.159
35,ACCIDENT ANALYSIS AND PREVENTION,"17,335",3.058,0.019280,0.807
35,GENDER & SOCIETY,"5,212",3.058,0.003620,1.613
37,AMERICAN ETHNOLOGIST,"3,207",3.053,0.004450,1.466
38,JOURNAL OF ARCHAEOLOGICAL SCIENCE,"16,170",3.030,0.016960,0.909
38,QUALITATIVE HEALTH RESEARCH,"9,100",3.030,0.007880,0.789
40,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,047",3.022,0.004250,1.463
41,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,"1,812",3.018,0.001960,0.999
42,SOCIAL NETWORKS,"5,721",2.949,0.005510,1.548
43,SOCIAL SCIENCE COMPUTER REVIEW,"1,823",2.922,0.002740,0.891
44,SOCIOLOGIA RURALIS,"2,020",2.857,0.001200,0.617
45,CHILD ABUSE & NEGLECT,"11,495",2.845,0.013190,1.038
46,PATIENT EDUCATION AND COUNSELING,"12,891",2.821,0.016780,1.030
47,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,"5,407",2.817,0.005430,1.208
48,Journal of Family Theory & Review,671,2.804,0.001340,0.943
49,SOCIAL PROBLEMS,"4,591",2.789,0.003040,1.668
50,CURRENT ANTHROPOLOGY,"5,963",2.787,0.006540,1.408
51,Psychology of Violence,"1,113",2.774,0.003480,1.189
52,EUROPEAN SOCIOLOGICAL REVIEW,"3,712",2.763,0.006300,1.461
53,PSYCHOMETRIKA,"11,003",2.743,0.005950,1.928
54,Journal of Anthropological Sciences,300,2.731,0.000620,0.894
55,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"5,249",2.716,0.008850,3.335
56,AMERICAN ANTHROPOLOGIST,"4,944",2.709,0.003010,1.036
57,Annual Review of Anthropology,"4,810",2.698,0.003610,1.941
58,FAMILY PROCESS,"2,622",2.679,0.002430,0.741
59,ETHNICITY & HEALTH,"1,303",2.671,0.002250,0.891
60,JOURNAL OF ARCHAEOLOGICAL RESEARCH,654,2.667,0.000840,1.447
61,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"13,903",2.662,0.010610,0.870
62,WORK AND OCCUPATIONS,"1,249",2.655,0.001100,1.068
63,POPULATION AND DEVELOPMENT REVIEW,"3,899",2.647,0.004660,2.044
64,JOURNAL OF WORLD PREHISTORY,737,2.632,0.000590,0.977
65,POLICY SCIENCES,"2,305",2.619,0.001430,0.897
66,JOURNAL OF MARRIAGE AND FAMILY,"11,596",2.582,0.007930,1.472
67,JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,"1,328",2.571,0.002010,0.819
68,RISK ANALYSIS,"9,136",2.564,0.008140,0.858
69,MATHEMATICAL FINANCE,"2,149",2.529,0.003930,1.887
70,YOUTH & SOCIETY,"1,688",2.523,0.002170,0.848
71,Journal of Happiness Studies,"3,927",2.511,0.005840,0.922
72,Scandinavian Journal of Hospitality and Tourism,982,2.508,0.000600,0.303
73,Cornell Hospitality Quarterly,"1,351",2.492,0.001440,0.650
74,DEMOGRAPHY,"7,288",2.489,0.012740,2.112
75,South European Society and Politics,775,2.456,0.001900,1.018
76,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,"8,700",2.419,0.003640,1.838
76,JOURNAL OF SOCIAL ISSUES,"7,309",2.419,0.004120,1.409
78,JOURNAL OF SAFETY RESEARCH,"3,508",2.401,0.004110,0.941
79,WORK EMPLOYMENT AND SOCIETY,"2,572",2.364,0.003480,0.989
80,Annual Review of Law and Social Science,806,2.360,0.001610,1.115
81,JOURNAL OF FAMILY PSYCHOLOGY,"6,432",2.354,0.006470,0.966
82,International Journal of Transgenderism,752,2.345,0.000950,Not Available
83,ADDICTION RESEARCH & THEORY,"1,427",2.319,0.002210,0.614
84,JOURNAL OF ETHNIC AND MIGRATION STUDIES,"4,626",2.297,0.007810,1.008
85,JOURNAL OF SOCIAL POLICY,"1,633",2.296,0.002080,0.884
86,SOCIAL FORCES,"8,075",2.291,0.007600,1.846
87,Population Space and Place,"2,094",2.279,0.003520,0.912
88,SEX ROLES,"8,423",2.277,0.006520,1.057
89,GENDER WORK AND ORGANIZATION,"1,881",2.273,0.001900,0.733
90,POLITICS & SOCIETY,"1,701",2.268,0.002130,1.567
91,International Journal of Qualitative Methods,"2,014",2.257,0.001160,0.474
92,JOURNAL OF OCCUPATIONAL REHABILITATION,"2,423",2.242,0.003190,0.801
93,SOCIOLOGY OF HEALTH & ILLNESS,"4,543",2.211,0.005140,0.923
94,JOURNAL OF MEDICAL ETHICS,"4,205",2.195,0.006850,0.676
95,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,"1,238",2.194,0.001740,0.503
96,AUSTRALIAN ARCHAEOLOGY,473,2.188,0.000590,0.422
97,CRITICAL SOCIAL POLICY,"1,297",2.185,0.001820,0.940
98,SOCIOLOGICAL THEORY,"2,411",2.171,0.001680,1.517
99,SOCIOLOGICAL REVIEW,"3,226",2.151,0.003340,0.818
100,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,"1,643",2.148,0.001980,1.128
101,MULTIVARIATE BEHAVIORAL RESEARCH,"6,520",2.141,0.006010,2.159
102,JOURNAL OF EUROPEAN SOCIAL POLICY,"1,819",2.119,0.002520,1.273
103,STUDIES IN FAMILY PLANNING,"1,786",2.075,0.002550,1.628
104,JOURNAL OF RESEARCH ON ADOLESCENCE,"3,659",2.071,0.004770,1.112
105,JOURNAL OF APPLIED ECONOMETRICS,"5,397",2.053,0.010180,2.367
106,Feminist Media Studies,"1,103",2.042,0.002380,Not Available
107,Field Methods,"2,130",2.020,0.001120,0.675
108,GROUP DECISION AND NEGOTIATION,"1,245",2.010,0.001460,0.420
109,JOURNAL OF WOMENS HEALTH,"5,283",2.009,0.009660,1.043
110,Evidence & Policy,637,2.000,0.001000,0.540
110,JOURNAL OF MATHEMATICAL SOCIOLOGY,"1,027",2.000,0.000510,0.587
110,Social Movement Studies,891,2.000,0.001640,0.629
113,International Journal of Social Research Methodology,"2,262",1.990,0.001860,0.618
114,Archaeological and Anthropological Sciences,998,1.978,0.002310,0.647
115,POPULATION AND ENVIRONMENT,"1,196",1.976,0.000990,0.691
116,JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,"1,958",1.972,0.003160,0.925
117,LEISURE SCIENCES,"2,195",1.969,0.000970,0.497
118,NEW LEFT REVIEW,"2,469",1.967,0.002150,1.006
119,International Political Sociology,850,1.958,0.001970,1.321
120,CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,"1,406",1.957,0.001200,0.530
120,WOMENS HEALTH ISSUES,"2,157",1.957,0.005380,1.010
122,MINERVA,"1,081",1.952,0.000890,0.677
123,JOURNAL OF ECONOMETRICS,"17,509",1.949,0.023670,2.546
123,SOCIETY & NATURAL RESOURCES,"3,638",1.949,0.003850,0.614
125,Social Anthropology,691,1.942,0.000700,Not Available
126,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,"2,139",1.939,0.002510,0.692
127,ACTA SOCIOLOGICA,"1,146",1.925,0.001130,0.862
127,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,"3,347",1.925,0.002690,0.673
129,Men and Masculinities,"1,226",1.923,0.001660,0.970
130,FINANCE AND STOCHASTICS,"1,288",1.921,0.003420,1.708
131,THEORY AND SOCIETY,"2,756",1.900,0.001830,1.264
132,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,"4,528",1.898,0.003540,0.845
133,Sexuality Research and Social Policy,907,1.892,0.001650,0.741
134,Journal of Family Nursing,777,1.891,0.000790,0.564
135,MEDIA CULTURE & SOCIETY,"2,290",1.886,0.003330,0.672
136,BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,"2,161",1.883,0.002650,0.671
137,RURAL SOCIOLOGY,"1,813",1.870,0.001160,0.829
138,Evaluation,"1,036",1.843,0.000910,0.511
139,JOURNAL OF HEALTH POLITICS POLICY AND LAW,"1,085",1.839,0.002260,0.749
140,JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE,671,1.821,0.001440,0.555
141,Cultural Diversity & Ethnic Minority Psychology,"2,440",1.812,0.003580,0.950
142,DISASTERS,"2,274",1.797,0.001560,0.517
143,Stata Journal,"4,097",1.796,0.006790,1.844
144,QUALITATIVE INQUIRY,"5,617",1.795,0.004680,0.712
145,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,"5,475",1.789,0.008140,1.562
146,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"2,994",1.785,0.004550,1.533
147,SOCIOLOGICAL FORUM,"1,843",1.779,0.001910,0.625
148,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,"6,073",1.777,0.004310,0.878
149,International Review for the Sociology of Sport,"1,609",1.771,0.001780,0.492
150,European Journal of Population-Revue Europeenne de Demographie,980,1.768,0.001610,1.112
151,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,"2,047",1.767,0.002910,1.919
152,SOCIAL SCIENCE RESEARCH,"4,754",1.765,0.009230,1.086
153,Migration Studies,291,1.756,0.001700,1.240
154,JOURNAL OF EARLY ADOLESCENCE,"2,302",1.750,0.002580,0.847
154,Journal of the Economics of Ageing,176,1.750,0.001060,Not Available
156,CULTURE HEALTH & SEXUALITY,"2,321",1.746,0.004620,0.714
156,CURRENT SOCIOLOGY,"1,845",1.746,0.003470,0.911
158,INTERNATIONAL MIGRATION REVIEW,"3,837",1.738,0.003220,1.430
159,Crime Media Culture,426,1.737,0.000580,0.495
159,Journal of Refugee Studies,"1,397",1.737,0.001270,0.678
161,Journal of Youth Studies,"1,972",1.732,0.002950,0.565
162,TIME & SOCIETY,728,1.727,0.000970,0.687
163,JOURNAL OF SEX & MARITAL THERAPY,"2,371",1.725,0.001810,0.605
164,FEMINIST ECONOMICS,"1,332",1.719,0.001350,0.645
165,PUBLIC CULTURE,"1,769",1.717,0.001870,1.265
166,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,"3,564",1.713,0.002750,0.596
167,SOCIAL INDICATORS RESEARCH,"9,170",1.703,0.012070,0.614
168,POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,"1,622",1.702,0.001750,1.108
169,JOURNAL OF RISK RESEARCH,"1,896",1.699,0.001990,0.395
170,CHILDREN AND YOUTH SERVICES REVIEW,"8,042",1.684,0.009470,0.482
171,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,"3,550",1.678,0.003050,0.787
172,AMERICAN ANTIQUITY,"3,317",1.671,0.001510,0.567
172,Globalizations,993,1.671,0.002220,0.548
174,Journal of Consumer Culture,"1,447",1.670,0.001710,0.879
174,TECHNOLOGY IN SOCIETY,"1,368",1.670,0.000870,Not Available
176,BIOETHICS,"1,567",1.665,0.002710,0.579
177,LANGUAGE IN SOCIETY,"1,779",1.660,0.001440,0.959
178,Child Indicators Research,760,1.656,0.001310,0.383
179,VIOLENCE AGAINST WOMEN,"3,635",1.636,0.003690,0.706
180,DISABILITY & SOCIETY,"2,522",1.613,0.002460,0.409
181,Research in Social Stratification and Mobility,773,1.611,0.002190,1.031
182,JOURNAL OF FAMILY ISSUES,"3,884",1.607,0.003900,0.694
183,LAW & SOCIETY REVIEW,"2,742",1.604,0.001720,0.924
184,JOURNAL OF PRODUCTIVITY ANALYSIS,"2,400",1.603,0.002080,0.671
185,Body & Society,"1,059",1.595,0.001010,0.757
186,Journal of Bioethical Inquiry,577,1.592,0.001470,0.435
187,Health Sociology Review,529,1.591,0.000680,0.417
188,ANNALS OF HUMAN BIOLOGY,"2,302",1.588,0.002970,0.583
189,JOURNAL OF MARITAL AND FAMILY THERAPY,"1,886",1.577,0.000960,0.358
190,International Journal of Design,588,1.576,0.000420,0.305
190,SOCIOLOGY OF RELIGION,"1,075",1.576,0.001090,0.847
192,HEALTH & SOCIAL CARE IN THE COMMUNITY,"2,463",1.573,0.003390,0.573
193,BRITISH JOURNAL OF SOCIAL WORK,"3,597",1.569,0.003670,0.438
194,ECONOMY AND SOCIETY,"2,500",1.563,0.001880,1.112
195,Transcultural Psychiatry,"1,317",1.558,0.001940,0.749
196,Journal of Child and Family Studies,"4,546",1.556,0.009670,0.600
197,Sociological Methodology,"3,021",1.545,0.001210,1.960
198,FEMINISM & PSYCHOLOGY,"1,102",1.538,0.000920,0.439
199,Applied Research in Quality of Life,704,1.528,0.001370,0.398
200,Scandinavian Actuarial Journal,796,1.523,0.001910,0.809
201,POETICS,"1,881",1.522,0.002070,0.914
202,DAEDALUS,"2,109",1.517,0.001550,0.520
203,Anthropological Theory,807,1.509,0.001220,0.748
204,Journal of the Society for Social Work and Research,334,1.508,0.000870,Not Available
205,ETHOS,"1,085",1.500,0.000740,0.503
206,ETHNOS,787,1.494,0.001150,0.557
207,AMERICAN JOURNAL OF EVALUATION,"1,575",1.492,0.001410,0.623
208,DEVIANT BEHAVIOR,"1,770",1.490,0.002100,0.436
209,Critical Sociology,965,1.481,0.002320,0.601
210,Sexualities,"1,502",1.474,0.001820,0.562
211,ANTIQUITY,"3,609",1.469,0.003520,0.577
211,Voluntas,"1,740",1.469,0.002200,0.342
213,Gender Place and Culture,"1,799",1.468,0.002820,0.488
214,Emotion Space and Society,726,1.463,0.001750,0.622
215,Medical Anthropology,767,1.457,0.001270,0.512
216,CULTURE MEDICINE AND PSYCHIATRY,"1,085",1.456,0.001100,0.552
217,Mathematics and Financial Economics,268,1.455,0.001330,0.970
218,POPULATION,732,1.450,0.000670,0.495
219,SYSTEM DYNAMICS REVIEW,"1,369",1.448,0.000260,0.272
220,AMERICAN BEHAVIORAL SCIENTIST,"5,437",1.444,0.008310,1.375
221,European Journal of Social Theory,"1,387",1.443,0.001250,0.670
222,AMERICAN JOURNAL OF HUMAN BIOLOGY,"3,396",1.438,0.003940,0.538
222,JOURNAL OF HOMOSEXUALITY,"3,099",1.438,0.003130,0.554
224,International Perspectives on Sexual and Reproductive Health,561,1.429,0.001430,1.192
225,SOCIAL WORK,"1,979",1.419,0.001110,0.561
226,Journal of Cultural Economy,508,1.418,0.001440,Not Available
226,SOCIOLOGY OF SPORT JOURNAL,"1,249",1.418,0.000540,0.339
228,History and Anthropology,326,1.406,0.000860,Not Available
229,African Archaeological Review,604,1.404,0.000840,0.526
230,Chinese Sociological Review,235,1.400,0.000710,0.812
231,Journal of Family Studies,306,1.395,0.000450,0.326
232,Journal of Children and Media,451,1.388,0.001100,Not Available
233,Du Bois Review-Social Science Research on Race,511,1.383,0.001330,0.879
233,Social Policy and Society,936,1.383,0.001230,Not Available
235,Island Studies Journal,311,1.377,0.000320,0.188
236,History of the Family,403,1.373,0.000630,0.366
237,Biodemography and Social Biology,217,1.372,0.000960,0.839
237,Computational and Mathematical Organization Theory,410,1.372,0.000280,0.198
239,MEDICAL ANTHROPOLOGY QUARTERLY,"1,231",1.371,0.001300,0.659
240,BULLETIN OF THE ATOMIC SCIENTISTS,598,1.368,0.001170,0.334
241,International Journal of Heritage Studies,"1,135",1.364,0.000820,0.229
242,ADAPTIVE BEHAVIOR,654,1.362,0.000580,0.329
242,JOURNAL OF GENDER STUDIES,667,1.362,0.000880,0.361
244,QUANTITATIVE FINANCE,"2,478",1.357,0.004690,0.562
245,NEW GENETICS AND SOCIETY,380,1.353,0.000490,0.400
246,Race and Social Problems,317,1.346,0.001020,Not Available
247,HUMAN ECOLOGY,"2,880",1.336,0.002350,0.544
248,SIAM Journal on Financial Mathematics,494,1.328,0.002640,1.200
249,Families Systems & Health,976,1.325,0.001400,0.564
250,CROSS-CULTURAL RESEARCH,740,1.324,0.000590,0.450
250,Demographic Research,"2,340",1.324,0.005290,0.743
252,JOURNAL OF SOCIAL ARCHAEOLOGY,341,1.323,0.000440,0.398
253,INSURANCE MATHEMATICS & ECONOMICS,"3,518",1.315,0.005070,0.595
254,JOURNAL OF SPORT & SOCIAL ISSUES,"1,011",1.308,0.000930,0.567
254,SOCIOLOGICAL QUARTERLY,"2,193",1.308,0.001570,0.790
256,SIGNS,"3,336",1.307,0.002960,1.046
257,SOCIAL POLITICS,"1,043",1.302,0.001660,1.039
258,EVALUATION REVIEW,"1,187",1.297,0.001030,0.818
259,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,717,1.289,0.000780,0.652
260,ARCHAEOLOGY IN OCEANIA,564,1.286,0.000440,0.379
261,FAMILY RELATIONS,"3,026",1.284,0.002090,0.584
262,ARCHIVES EUROPEENNES DE SOCIOLOGIE,528,1.280,0.000530,0.631
262,Society and Mental Health,194,1.280,0.000690,0.811
264,Nations and Nationalism,"1,222",1.278,0.001470,0.574
265,JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,"3,438",1.270,0.002210,0.711
265,RESEARCH ON SOCIAL WORK PRACTICE,"2,026",1.270,0.002070,0.454
267,SOCIAL POLICY & ADMINISTRATION,"1,427",1.269,0.001680,0.507
268,ETHNIC AND RACIAL STUDIES,"4,402",1.268,0.007340,0.710
269,JOURNAL OF POPULATION ECONOMICS,"2,055",1.259,0.003960,1.352
270,Advances in Life Course Research,579,1.255,0.001310,0.753
271,Social Justice Research,"1,070",1.243,0.000690,0.474
272,International Journal of Sexual Health,388,1.242,0.000800,0.402
272,Parenting-Science and Practice,877,1.242,0.000920,0.867
274,EVALUATION AND PROGRAM PLANNING,"2,307",1.240,0.002300,0.384
275,Cultural Sociology,480,1.239,0.001200,0.708
276,ECONOMETRIC THEORY,"2,585",1.238,0.005850,2.080
277,DISCOURSE & SOCIETY,"1,910",1.237,0.001470,0.682
278,Child & Family Social Work,"1,718",1.233,0.001730,0.344
279,Mobilization,847,1.229,0.001400,0.916
280,Race Ethnicity and Education,"1,248",1.228,0.001430,0.487
281,Australian Social Work,750,1.220,0.000800,0.313
282,Feminist Legal Studies,297,1.214,0.000230,0.271
282,ISSUES IN SCIENCE AND TECHNOLOGY,428,1.214,0.000990,0.471
284,GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES,854,1.209,0.000560,0.443
285,Child Abuse Review,823,1.206,0.001020,0.466
285,Gender in Management,591,1.206,0.000440,Not Available
287,SOCIAL SCIENCE QUARTERLY,"3,754",1.204,0.004070,0.725
288,ANTHROZOOS,"1,444",1.200,0.001110,0.404
288,DEATH STUDIES,"1,865",1.200,0.001710,0.377
288,RACE & CLASS,607,1.200,0.000540,0.317
291,JOURNAL OF ETHNOBIOLOGY,558,1.195,0.000800,0.415
292,SOCIAL & LEGAL STUDIES,665,1.190,0.000730,0.412
293,Lithic Technology,296,1.188,0.000320,Not Available
294,SOCIOLOGICAL RESEARCH ONLINE,"1,112",1.181,0.001900,0.439
295,INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,"2,120",1.180,0.001750,0.320
296,Journal of Social Work,552,1.178,0.000670,0.308
297,INTERNATIONAL SOCIOLOGY,"1,164",1.169,0.001090,0.549
298,WOMEN & HEALTH,"1,577",1.162,0.001870,0.506
299,Young,461,1.160,0.000530,0.353
300,HEALTH & SOCIAL WORK,"1,028",1.159,0.001120,0.506
301,APPLIED PSYCHOLOGICAL MEASUREMENT,"4,388",1.155,0.002180,0.789
302,Econometrics Journal,936,1.147,0.002460,1.966
303,JOURNAL OF FAMILY THERAPY,783,1.138,0.000550,0.288
304,IMA Journal of Management Mathematics,390,1.125,0.000520,0.320
304,Journal of Women Politics & Policy,200,1.125,0.000640,0.503
306,Social Epistemology,527,1.123,0.000840,0.480
307,JOURNAL OF LEISURE RESEARCH,"2,209",1.120,0.000700,0.436
308,Journal of Linguistic Anthropology,627,1.114,0.000650,0.584
308,Nonlinear Dynamics Psychology and Life Sciences,426,1.114,0.000480,0.318
310,Feminist Theory,709,1.111,0.000800,0.656
