"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'VETERINARY SCIENCES' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Annual Review of Animal Biosciences,709,5.200,0.003160,2.306
2,Transboundary and Emerging Diseases,"3,321",3.554,0.007140,0.821
3,FISH & SHELLFISH IMMUNOLOGY,"16,578",3.298,0.016630,0.499
4,VETERINARY RESEARCH,"5,050",3.117,0.007090,0.901
5,MEDICAL MYCOLOGY,"4,706",2.851,0.005460,0.778
6,LAB ANIMAL,523,2.794,0.000780,0.451
7,VETERINARY MICROBIOLOGY,"15,799",2.791,0.017880,0.726
8,Veterinary and Comparative Oncology,"1,399",2.379,0.002540,0.601
9,VETERINARY QUARTERLY,"1,112",2.340,0.001060,0.529
10,PREVENTIVE VETERINARY MEDICINE,"7,423",2.302,0.010000,0.692
11,THERIOGENOLOGY,"16,695",2.299,0.012820,0.495
12,JOURNAL OF VETERINARY INTERNAL MEDICINE,"8,142",2.286,0.009280,0.670
13,Zoonoses and Public Health,"1,914",2.164,0.003960,0.791
14,VETERINARY PATHOLOGY,"5,351",2.116,0.005490,0.688
15,EQUINE VETERINARY JOURNAL,"6,382",2.115,0.004380,0.549
16,VETERINARY RECORD,"9,927",2.101,0.007030,0.572
17,ANIMAL HEALTH RESEARCH REVIEWS,891,2.034,0.000780,0.657
18,Frontiers in Veterinary Science,"1,036",2.029,0.003060,Not Available
19,MEDICAL AND VETERINARY ENTOMOLOGY,"3,034",2.027,0.002740,0.706
20,Animal,"6,068",2.026,0.010800,0.637
21,ILAR JOURNAL,"1,952",2.015,0.002610,1.231
22,VETERINARY PARASITOLOGY,"15,379",2.009,0.015460,0.591
23,JOURNAL OF FISH DISEASES,"4,789",1.988,0.003850,0.436
24,AVIAN PATHOLOGY,"3,430",1.961,0.002400,0.493
25,VETERINARY JOURNAL,"8,174",1.919,0.011520,0.621
26,JOURNAL OF MEDICAL ENTOMOLOGY,"8,740",1.907,0.007300,0.588
27,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,"1,609",1.871,0.002040,0.549
28,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,"6,232",1.846,0.004750,0.466
29,Animals,"1,036",1.832,0.002710,Not Available
30,APPLIED ANIMAL BEHAVIOUR SCIENCE,"8,947",1.817,0.005560,0.515
31,VETERINARY DERMATOLOGY,"1,988",1.800,0.002380,0.439
32,BMC Veterinary Research,"4,665",1.792,0.012200,0.588
33,RESEARCH IN VETERINARY SCIENCE,"6,187",1.751,0.007070,0.443
34,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,"3,041",1.703,0.004140,0.421
35,DISEASES OF AQUATIC ORGANISMS,"5,885",1.659,0.004150,0.493
36,REPRODUCTION IN DOMESTIC ANIMALS,"4,552",1.638,0.004880,0.395
37,VETERINARY ANAESTHESIA AND ANALGESIA,"2,069",1.623,0.003460,0.553
38,Journal of Veterinary Behavior-Clinical Applications and Research,"1,194",1.590,0.001730,0.367
39,JOURNAL OF FELINE MEDICINE AND SURGERY,"2,467",1.584,0.003270,0.368
40,VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,"2,139",1.539,0.001630,0.689
41,ANIMAL WELFARE,"2,079",1.522,0.001390,0.443
42,ACTA VETERINARIA SCANDINAVICA,"2,253",1.509,0.002750,0.479
43,Journal of Veterinary Science,"1,430",1.503,0.002050,0.411
44,PAKISTAN VETERINARY JOURNAL,"1,123",1.360,0.001270,0.163
45,NEW ZEALAND VETERINARY JOURNAL,"1,675",1.345,0.001590,0.425
46,AVIAN DISEASES,"4,405",1.306,0.002520,0.376
47,JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,"11,839",1.303,0.006110,0.547
48,IRISH VETERINARY JOURNAL,532,1.292,0.000740,0.439
49,VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,"2,744",1.271,0.002330,0.488
50,Italian Journal of Animal Science,"1,635",1.265,0.001940,0.294
51,JOURNAL OF SMALL ANIMAL PRACTICE,"3,255",1.255,0.002980,0.438
52,JOURNAL OF COMPARATIVE PATHOLOGY,"3,009",1.249,0.002380,0.378
53,EXPERIMENTAL ANIMALS,"1,027",1.208,0.001090,0.350
54,ANTHROZOOS,"1,444",1.200,0.001110,0.404
55,JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,"1,394",1.194,0.002130,0.409
56,JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,764,1.191,0.000670,0.337
57,JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,"2,439",1.175,0.001780,0.313
58,JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,"3,922",1.174,0.003600,0.432
59,ZOO BIOLOGY,"1,942",1.153,0.001490,0.334
60,JOURNAL OF WILDLIFE DISEASES,"4,702",1.150,0.004240,0.447
61,VETERINARY RADIOLOGY & ULTRASOUND,"2,396",1.129,0.001870,0.328
62,LABORATORY ANIMALS,"2,134",1.117,0.001850,0.562
63,VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,"1,133",1.113,0.000960,0.409
64,TROPICAL ANIMAL HEALTH AND PRODUCTION,"3,478",1.089,0.004150,0.276
